benchmark,model,primitive,budget,depth,scope,required_cohort,status,tasks_on_disk,runs_on_disk,runs_per_task_min,cohort_covered,rows_in_csv,source_dirs,notes,tasks_covered_abl30,runs_capped_1_abl30,runs_capped_2_abl30,runs_capped_3_abl30,runs_capped_4_abl30,runs_capped_5_abl30,tasks_covered_p100,runs_capped_1_p100,runs_capped_2_p100,runs_capped_3_p100,runs_capped_4_p100,runs_capped_5_p100,tasks_covered_tb20,runs_capped_1_tb20,runs_capped_2_tb20,runs_capped_3_tb20,runs_capped_4_tb20,runs_capped_5_tb20,tasks_covered_all,runs_capped_1_all,runs_capped_2_all,runs_capped_3_all,runs_capped_4_all,runs_capped_5_all
swebench,Qwen3.5-35B-A3B,FC,inf,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/di__binf__fc,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC,inf,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/di__binf__otrc,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC+SS-partial,10k,0.5,in-scope,ABL-30,PARTIAL,68,116,0,"partial (19/30 ABL-30, 68 total)",0,ICLR_results/swebench/ablation/qwen35b/di__b10k__otrc-ss-partial;ICLR_results/swebench/main/qwen35b/di__b10k__otrc-ss-partial,,19,19,32,38,38,38,68,68,104,116,116,116,0,0,0,0,0,0,68,68,104,116,116,116
swebench,Qwen3.5-35B-A3B,OTRC+SS-partial,15k,0.5,in-scope,P100,PARTIAL,94,211,0,"partial (27/30 ABL-30, 94 total)",0,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial,,27,27,50,68,68,68,94,94,165,211,211,211,0,0,0,0,0,0,94,94,165,211,211,211
swebench,Qwen3.5-35B-A3B,OTRC+SS-partial,20k,0.5,in-scope,ABL-30,PARTIAL,99,256,1,ABL-30 (+69),0,ICLR_results/swebench/ablation/qwen35b/di__b20k__otrc-ss-partial;ICLR_results/swebench/main/qwen35b/di__b20k__otrc-ss-partial,only 1/3 runs/task,30,30,58,80,80,80,99,99,190,256,256,256,0,0,0,0,0,0,99,99,190,256,256,256
swebench,Qwen3.5-35B-A3B,OTRC+SU-partial,10k,0.5,in-scope,ABL-30,COMPLETE,100,299,3,P100,0,ICLR_results/swebench/ablation/qwen35b/di__b10k__otrc-su-partial;ICLR_results/swebench/main/qwen35b/di__b10k__otrc-su-partial,,30,30,60,90,90,90,100,100,200,299,299,299,0,0,0,0,0,0,100,100,200,299,299,299
swebench,Qwen3.5-35B-A3B,OTRC+SU-partial,15k,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-su-partial,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC+SU-partial,20k,0.5,in-scope,ABL-30,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/ablation/qwen35b/di__b20k__otrc-su-partial;ICLR_results/swebench/main/qwen35b/di__b20k__otrc-su-partial,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC+TR,10k,0.5,in-scope,ABL-30,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/ablation/qwen35b/di__b10k__otrc-tr;ICLR_results/swebench/main/qwen35b/di__b10k__otrc-tr,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC+TR,15k,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-tr,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,OTRC+TR,20k,0.5,in-scope,ABL-30,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/ablation/qwen35b/di__b20k__otrc-tr;ICLR_results/swebench/main/qwen35b/di__b20k__otrc-tr,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,SS,10k,0.3,in-scope,ABL-30,PARTIAL,23,44,0,"partial (23/30 ABL-30, 23 total)",0,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss,,23,23,39,44,44,44,23,23,39,44,44,44,0,0,0,0,0,0,23,23,39,44,44,44
swebench,Qwen3.5-35B-A3B,SS,10k,0.5,in-scope,ABL-30,PARTIAL,68,123,0,"partial (23/30 ABL-30, 68 total)",0,ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss;ICLR_results/swebench/main/qwen35b/d05__b10k__ss,,23,23,37,43,43,43,68,68,106,123,123,123,0,0,0,0,0,0,68,68,106,123,123,123
swebench,Qwen3.5-35B-A3B,SS,10k,0.7,in-scope,ABL-30,PARTIAL,25,49,0,"partial (25/30 ABL-30, 25 total)",0,ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss,,25,25,41,49,49,49,25,25,41,49,49,49,0,0,0,0,0,0,25,25,41,49,49,49
swebench,Qwen3.5-35B-A3B,SS,15k,0.3,in-scope,ABL-30,PARTIAL,29,71,0,"partial (29/30 ABL-30, 29 total)",0,ICLR_results/swebench/ablation/qwen35b/d03__b15k__ss,,29,29,54,71,71,71,29,29,54,71,71,71,0,0,0,0,0,0,29,29,54,71,71,71
swebench,Qwen3.5-35B-A3B,SS,15k,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/d05__b15k__ss,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,SS,15k,0.7,in-scope,ABL-30,PARTIAL,29,70,0,"partial (29/30 ABL-30, 29 total)",0,ICLR_results/swebench/ablation/qwen35b/d07__b15k__ss,,29,29,55,70,70,70,29,29,55,70,70,70,0,0,0,0,0,0,29,29,55,70,70,70
swebench,Qwen3.5-35B-A3B,SS,20k,0.3,in-scope,ABL-30,PARTIAL,30,81,1,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d03__b20k__ss,only 1/3 runs/task,30,30,58,81,81,81,30,30,58,81,81,81,0,0,0,0,0,0,30,30,58,81,81,81
swebench,Qwen3.5-35B-A3B,SS,20k,0.5,in-scope,ABL-30,PARTIAL,100,273,2,P100,0,ICLR_results/swebench/ablation/qwen35b/d05__b20k__ss;ICLR_results/swebench/main/qwen35b/d05__b20k__ss,only 2/3 runs/task,30,30,60,84,84,84,100,100,197,273,273,273,0,0,0,0,0,0,100,100,197,273,273,273
swebench,Qwen3.5-35B-A3B,SS,20k,0.7,in-scope,ABL-30,PARTIAL,30,76,2,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d07__b20k__ss,only 2/3 runs/task,30,30,60,76,76,76,30,30,60,76,76,76,0,0,0,0,0,0,30,30,60,76,76,76
swebench,Qwen3.5-35B-A3B,SS-partial,10k,0.3,in-scope,ABL-30,PARTIAL,17,25,0,"partial (17/30 ABL-30, 17 total)",0,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial,,17,17,23,25,25,25,17,17,23,25,25,25,0,0,0,0,0,0,17,17,23,25,25,25
swebench,Qwen3.5-35B-A3B,SS-partial,10k,0.5,in-scope,ABL-30,PARTIAL,51,70,0,"partial (16/30 ABL-30, 51 total)",0,ICLR_results/swebench/ablation/qwen35b/d05__b10k__ss-partial;ICLR_results/swebench/main/qwen35b/d05__b10k__ss-partial,,16,16,24,25,25,25,51,51,67,70,70,70,0,0,0,0,0,0,51,51,67,70,70,70
swebench,Qwen3.5-35B-A3B,SS-partial,10k,0.7,in-scope,ABL-30,PARTIAL,12,22,0,"partial (12/30 ABL-30, 12 total)",0,ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss-partial,,12,12,20,22,22,22,12,12,20,22,22,22,0,0,0,0,0,0,12,12,20,22,22,22
swebench,Qwen3.5-35B-A3B,SS-partial,15k,0.3,in-scope,ABL-30,PARTIAL,27,50,0,"partial (27/30 ABL-30, 27 total)",0,ICLR_results/swebench/ablation/qwen35b/d03__b15k__ss-partial,,27,27,42,50,50,50,27,27,42,50,50,50,0,0,0,0,0,0,27,27,42,50,50,50
swebench,Qwen3.5-35B-A3B,SS-partial,15k,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,SS-partial,15k,0.7,in-scope,ABL-30,PARTIAL,25,44,0,"partial (25/30 ABL-30, 25 total)",0,ICLR_results/swebench/ablation/qwen35b/d07__b15k__ss-partial,,25,25,39,44,44,44,25,25,39,44,44,44,0,0,0,0,0,0,25,25,39,44,44,44
swebench,Qwen3.5-35B-A3B,SS-partial,20k,0.3,in-scope,ABL-30,PARTIAL,28,63,0,"partial (28/30 ABL-30, 28 total)",0,ICLR_results/swebench/ablation/qwen35b/d03__b20k__ss-partial,,28,28,49,63,63,63,28,28,49,63,63,63,0,0,0,0,0,0,28,28,49,63,63,63
swebench,Qwen3.5-35B-A3B,SS-partial,20k,0.5,in-scope,ABL-30,PARTIAL,96,214,1,ABL-30 (+66),0,ICLR_results/swebench/ablation/qwen35b/d05__b20k__ss-partial;ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial,only 1/3 runs/task,30,30,54,68,68,68,96,96,174,214,214,214,0,0,0,0,0,0,96,96,174,214,214,214
swebench,Qwen3.5-35B-A3B,SS-partial,20k,0.7,in-scope,ABL-30,PARTIAL,26,58,0,"partial (26/30 ABL-30, 26 total)",0,ICLR_results/swebench/ablation/qwen35b/d07__b20k__ss-partial,,26,26,46,58,58,58,26,26,46,58,58,58,0,0,0,0,0,0,26,26,46,58,58,58
swebench,Qwen3.5-35B-A3B,SU-full,10k,0.3,in-scope,ABL-30,COMPLETE,30,90,3,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d03__b10k__su-full,,30,30,60,90,90,90,30,30,60,90,90,90,0,0,0,0,0,0,30,30,60,90,90,90
swebench,Qwen3.5-35B-A3B,SU-full,10k,0.5,in-scope,ABL-30,PARTIAL,100,298,2,P100,0,ICLR_results/swebench/ablation/qwen35b/d05__b10k__su-full;ICLR_results/swebench/main/qwen35b/d05__b10k__su-full,only 2/3 runs/task,30,30,60,88,88,88,100,100,200,298,298,298,0,0,0,0,0,0,100,100,200,298,298,298
swebench,Qwen3.5-35B-A3B,SU-full,10k,0.7,in-scope,ABL-30,PARTIAL,30,89,2,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d07__b10k__su-full,only 2/3 runs/task,30,30,60,89,89,89,30,30,60,89,89,89,0,0,0,0,0,0,30,30,60,89,89,89
swebench,Qwen3.5-35B-A3B,SU-full,15k,0.3,in-scope,ABL-30,COMPLETE,30,90,3,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d03__b15k__su-full,,30,30,60,90,90,90,30,30,60,90,90,90,0,0,0,0,0,0,30,30,60,90,90,90
swebench,Qwen3.5-35B-A3B,SU-full,15k,0.5,in-scope,P100,COMPLETE,100,300,3,P100,0,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full,,30,30,60,90,90,90,100,100,200,300,300,300,0,0,0,0,0,0,100,100,200,300,300,300
swebench,Qwen3.5-35B-A3B,SU-full,15k,0.7,in-scope,ABL-30,PARTIAL,30,89,2,ABL-30,0,ICLR_results/swebench/ablation/qwen35b/d07__b15k__su-full,only 2/3 runs/task,30,30,60,89,89,89,30,30,60,89,89,89,0,0,0,0,0,0,30,30,60,89,89,89
