benchmark,model,policy,resolved,timeout,step_limit,submitted_failure,other,attempts,resolved_pct,timeout_pct,step_limit_pct,submitted_failure_pct,other_pct,resource_excluded_count,successful_excluded_count,inferred_count
SWE-bench,Devstral,FC,167,8,25,95,5,300,55.666666666666664,2.6666666666666665,8.333333333333334,31.666666666666668,1.6666666666666667,8,0,0
SWE-bench,Devstral,OTRC,116,3,115,65,1,300,38.666666666666664,1.0,38.333333333333336,21.666666666666668,0.3333333333333333,3,0,0
SWE-bench,Devstral,OTRC+SS-p,121,0,111,68,0,300,40.333333333333336,0.0,37.0,22.666666666666668,0.0,0,0,0
SWE-bench,Devstral,OTRC+SU-p,114,1,115,70,0,300,38.0,0.3333333333333333,38.333333333333336,23.333333333333332,0.0,1,0,0
SWE-bench,Devstral,OTRC+TR,116,6,109,68,1,300,38.666666666666664,2.0,36.333333333333336,22.666666666666668,0.3333333333333333,6,0,0
SWE-bench,Devstral,SS,142,0,84,71,3,300,47.333333333333336,0.0,28.0,23.666666666666668,1.0,0,0,0
SWE-bench,Devstral,SS-p,168,3,46,83,0,300,56.0,1.0,15.333333333333334,27.666666666666668,0.0,3,0,0
SWE-bench,Devstral,SU,158,3,49,90,0,300,52.666666666666664,1.0,16.333333333333332,30.0,0.0,3,0,0
SWE-bench,Devstral,SU-p,166,1,42,91,0,300,55.333333333333336,0.3333333333333333,14.0,30.333333333333332,0.0,1,0,0
SWE-bench,Devstral,TR,167,1,54,76,2,300,55.666666666666664,0.3333333333333333,18.0,25.333333333333332,0.6666666666666666,1,0,0
SWE-bench,Devstral,TRC,159,0,45,95,1,300,53.0,0.0,15.0,31.666666666666668,0.3333333333333333,0,0,0
SWE-bench,Devstral,TRC+SS,171,0,35,92,2,300,57.0,0.0,11.666666666666666,30.666666666666668,0.6666666666666666,0,0,0
SWE-bench,Devstral,TRC+SU,163,0,37,100,0,300,54.333333333333336,0.0,12.333333333333334,33.333333333333336,0.0,0,0,0
SWE-bench,GLM,FC,123,51,18,102,6,300,41.0,17.0,6.0,34.0,2.0,51,0,0
SWE-bench,GLM,OTRC,124,36,34,106,0,300,41.333333333333336,12.0,11.333333333333334,35.333333333333336,0.0,36,0,0
SWE-bench,GLM,OTRC+SS-p,101,46,76,77,0,300,33.666666666666664,15.333333333333334,25.333333333333332,25.666666666666668,0.0,46,0,0
SWE-bench,GLM,OTRC+SU-p,107,42,70,81,0,300,35.666666666666664,14.0,23.333333333333332,27.0,0.0,42,0,0
SWE-bench,GLM,OTRC+TR,109,25,54,112,0,300,36.333333333333336,8.333333333333334,18.0,37.333333333333336,0.0,25,0,0
SWE-bench,GLM,SS,87,150,0,63,0,300,29.0,50.0,0.0,21.0,0.0,150,0,0
SWE-bench,GLM,SS-p,111,67,36,86,0,300,37.0,22.333333333333332,12.0,28.666666666666668,0.0,67,0,0
SWE-bench,GLM,SU,85,143,2,70,0,300,28.333333333333332,47.666666666666664,0.6666666666666666,23.333333333333332,0.0,143,0,0
SWE-bench,GLM,SU-p,124,64,31,81,0,300,41.333333333333336,21.333333333333332,10.333333333333334,27.0,0.0,64,0,0
SWE-bench,GLM,TR,115,18,73,94,0,300,38.333333333333336,6.0,24.333333333333332,31.333333333333332,0.0,18,0,0
SWE-bench,GLM,TRC,116,25,55,104,0,300,38.666666666666664,8.333333333333334,18.333333333333332,34.666666666666664,0.0,25,0,0
SWE-bench,GLM,TRC+SS,116,65,21,97,1,300,38.666666666666664,21.666666666666668,7.0,32.333333333333336,0.3333333333333333,65,0,0
SWE-bench,GLM,TRC+SU,109,91,8,92,0,300,36.333333333333336,30.333333333333332,2.6666666666666665,30.666666666666668,0.0,91,0,0
SWE-bench,Qwen,FC,159,67,15,58,1,300,53.0,22.333333333333332,5.0,19.333333333333332,0.3333333333333333,67,0,0
SWE-bench,Qwen,OTRC,154,48,36,62,0,300,51.333333333333336,16.0,12.0,20.666666666666668,0.0,48,0,0
SWE-bench,Qwen,OTRC+SS-p,141,66,27,66,0,300,47.0,22.0,9.0,22.0,0.0,66,0,0
SWE-bench,Qwen,OTRC+SU-p,147,31,54,65,3,300,49.0,10.333333333333334,18.0,21.666666666666668,1.0,31,0,0
SWE-bench,Qwen,OTRC+TR,136,26,77,60,1,300,45.333333333333336,8.666666666666666,25.666666666666668,20.0,0.3333333333333333,26,0,0
SWE-bench,Qwen,SS,129,54,47,67,3,300,43.0,18.0,15.666666666666666,22.333333333333332,1.0,54,0,0
SWE-bench,Qwen,SS-p,149,40,44,64,3,300,49.666666666666664,13.333333333333334,14.666666666666666,21.333333333333332,1.0,40,0,0
SWE-bench,Qwen,SU,126,35,74,64,1,300,42.0,11.666666666666666,24.666666666666668,21.333333333333332,0.3333333333333333,35,0,0
SWE-bench,Qwen,SU-p,147,37,43,68,5,300,49.0,12.333333333333334,14.333333333333334,22.666666666666668,1.6666666666666667,37,0,0
SWE-bench,Qwen,TR,133,45,74,48,0,300,44.333333333333336,15.0,24.666666666666668,16.0,0.0,45,0,0
SWE-bench,Qwen,TRC,161,24,41,74,0,300,53.666666666666664,8.0,13.666666666666666,24.666666666666668,0.0,24,0,0
SWE-bench,Qwen,TRC+SS,152,32,48,68,0,300,50.666666666666664,10.666666666666666,16.0,22.666666666666668,0.0,32,0,0
SWE-bench,Qwen,TRC+SU,156,32,35,76,1,300,52.0,10.666666666666666,11.666666666666666,25.333333333333332,0.3333333333333333,32,0,0
Terminal-Bench,Devstral,FC,41,21,2,55,1,120,34.166666666666664,17.5,1.6666666666666667,45.833333333333336,0.8333333333333334,22,1,22
Terminal-Bench,Devstral,OTRC,35,27,9,49,0,120,29.166666666666668,22.5,7.5,40.833333333333336,0.0,27,0,27
Terminal-Bench,Devstral,OTRC+SS-p,30,41,17,30,2,120,25.0,34.166666666666664,14.166666666666666,25.0,1.6666666666666667,45,4,45
Terminal-Bench,Devstral,OTRC+SU-p,22,42,20,36,0,120,18.333333333333332,35.0,16.666666666666668,30.0,0.0,42,0,42
Terminal-Bench,Devstral,OTRC+TR,29,22,44,24,1,120,24.166666666666668,18.333333333333332,36.666666666666664,20.0,0.8333333333333334,26,4,26
