benchmark,model,policy,n_tasks,policy_calls,fc_calls,change,lo,hi
SWE-bench,Qwen,TR,39,48.59401709401709,43.111111111111114,12.718080888183959,4.580725835725458,21.07964175036304
SWE-bench,Qwen,TRC,47,48.783687943262414,45.804964539007095,6.50305798560038,-3.379701602106416,17.6912088906167
SWE-bench,Qwen,SU,41,48.17886178861789,45.426829268292686,6.0581655480984375,-3.8681456844896265,17.019461029632154
SWE-bench,Qwen,SU-p,45,40.31851851851852,44.74814814814815,-9.89902334050653,-16.842367244334365,-2.8917725349451917
SWE-bench,Qwen,SS,41,44.73170731707317,45.2520325203252,-1.149838303988493,-10.230854717517117,8.586528864412667
SWE-bench,Qwen,SS-p,44,46.829545454545446,43.84090909090909,6.817003628823204,-1.7398130180643,16.080652622124624
SWE-bench,Qwen,TRC+SU,45,48.54814814814816,44.67407407407407,8.671862046095203,0.01681797172322716,17.77445037997302
SWE-bench,Qwen,TRC+SS,46,46.362318840579704,45.40942028985508,2.0984600654272434,-4.592747601234722,9.308375659331546
SWE-bench,Qwen,OTRC+TR,39,48.461538461538474,43.06837606837607,12.522325858305239,2.549470685729343,22.726883391589325
SWE-bench,Qwen,OTRC+SU-p,46,47.985507246376805,45.25,6.045319881495703,-4.434767860404383,17.278892790941434
SWE-bench,Qwen,OTRC+SS-p,42,45.416666666666664,43.94047619047619,3.35952316445407,-8.06114594869827,16.383001563090257
SWE-bench,Qwen,OTRC,45,54.833333333333336,44.33703703703704,23.673878539804516,13.803976886683904,34.04450709959336
SWE-bench,Devstral,TR,52,62.54807692307692,60.352564102564116,3.63781200212423,-1.0566598241487184,8.711498024298084
SWE-bench,Devstral,TRC,48,60.82638888888889,60.177083333333336,1.0789914026888336,-4.26236613351138,6.5629779686548755
SWE-bench,Devstral,SU,48,61.833333333333336,59.44097222222222,4.024767801857587,-1.892048878638305,10.229963075611664
SWE-bench,Devstral,SU-p,50,58.48333333333334,59.95,-2.4464831804281273,-6.596588321483165,1.9463882524631484
SWE-bench,Devstral,SS,43,63.151162790697676,57.83720930232558,9.18777643747486,2.3709402227359613,16.39236397768717
SWE-bench,Devstral,SS-p,52,59.82692307692309,60.09935897435897,-0.4533091568449499,-5.6427759208118715,4.94810193665866
SWE-bench,Devstral,TRC+SU,50,64.40333333333334,59.48666666666667,8.265157458253935,3.128367043111472,14.058481843922012
SWE-bench,Devstral,TRC+SS,50,62.42666666666667,59.24666666666667,5.367390570496222,-0.5238295988827121,11.919396907462254
SWE-bench,Devstral,OTRC+TR,37,64.42342342342343,60.081081081081095,7.227470385365109,-0.4239895262556184,15.063122304487035
SWE-bench,Devstral,OTRC+SU-p,34,60.5735294117647,58.995098039215684,2.675529705027002,-6.083929460554446,11.66598537505736
SWE-bench,Devstral,OTRC+SS-p,37,64.08558558558559,57.927927927927946,10.629860031104176,2.450721240653772,19.332714117237444
SWE-bench,Devstral,OTRC,35,62.938095238095244,57.41428571428571,9.620967073069608,2.910935738019689,16.067483585145986
SWE-bench,GLM,TR,32,39.95833333333333,35.28645833333333,13.239852398523988,1.2855646243066228,27.077767443902133
SWE-bench,GLM,TRC,31,35.284946236559136,36.252688172043015,-2.669434969598128,-12.933032802278152,8.45773801674242
SWE-bench,GLM,SU,20,25.425,31.98333333333333,-20.505471599791548,-33.55143610465544,-7.184452132758209
SWE-bench,GLM,SU-p,32,39.0,36.703125,6.257982120051087,-6.458473355124958,20.639688557327762
SWE-bench,GLM,SS,26,29.9551282051282,35.4102564102564,-15.405503258508324,-28.442019234102627,-1.3117368098191524
SWE-bench,GLM,SS-p,30,39.727777777777774,36.422222222222224,9.0756558877364,-5.900538846603409,26.052894482111093
SWE-bench,GLM,TRC+SU,30,35.28888888888889,35.483333333333334,-0.5479881008298104,-12.947315860879291,13.614761829732128
SWE-bench,GLM,TRC+SS,36,35.06018518518518,38.40740740740742,-8.715043394406974,-20.11571334343024,4.482714469638765
SWE-bench,GLM,OTRC+TR,29,39.11494252873563,34.9367816091954,11.959203816417174,-7.805072041553057,33.568894492459016
SWE-bench,GLM,OTRC+SU-p,30,36.50555555555556,36.761111111111106,-0.6951790841770888,-15.99701111541502,16.789817656448253
SWE-bench,GLM,OTRC+SS-p,30,36.8611111111111,36.294444444444444,1.5613041481707945,-12.81072107060761,17.694279496151747
SWE-bench,GLM,OTRC,33,35.77777777777778,34.15151515151515,4.761904761904767,-7.964733571202036,17.379267683165065
Terminal-Bench,Qwen,TR,13,22.384615384615383,12.615384615384615,77.4390243902439,15.567247322552856,143.096061623951
Terminal-Bench,Qwen,TRC,14,31.821428571428573,14.166666666666666,124.6218487394958,34.38057416471208,214.15585207733056
Terminal-Bench,Qwen,SU,12,20.97222222222222,15.222222222222221,37.773722627737236,4.241157605580637,79.24210562855349
Terminal-Bench,Qwen,SU-p,13,20.320512820512818,14.6025641025641,39.15715539947322,5.491822991822997,67.81515019801022
Terminal-Bench,Qwen,SS,10,16.95,14.383333333333331,17.844727694090402,-6.640287798696294,41.5704387990762
Terminal-Bench,Qwen,SS-p,12,17.63888888888889,13.027777777777777,35.394456289978685,9.641992796965516,65.10427535475789
Terminal-Bench,Qwen,TRC+SU,11,19.5,14.106060606060606,38.23845327604727,5.133551106685784,93.06885822510822
Terminal-Bench,Qwen,TRC+SS,13,16.871794871794872,15.051282051282051,12.0954003407155,-4.020146436019235,31.15233218867493
Terminal-Bench,Qwen,OTRC+TR,12,36.847222222222214,13.138888888888888,180.44397463002113,66.7157347574961,318.1818181818181
Terminal-Bench,Qwen,OTRC+SU-p,12,21.375,13.444444444444443,58.98760330578514,2.684339296536593,106.05828147724293
Terminal-Bench,Qwen,OTRC+SS-p,13,25.397435897435894,16.17948717948718,56.97305863708397,-3.2260610535427716,146.47157423133362
Terminal-Bench,Qwen,OTRC,15,16.844444444444445,16.488888888888887,2.1563342318059453,-15.246110030564033,19.642929031515983
Terminal-Bench,Devstral,TR,9,28.77777777777778,20.185185185185187,42.56880733944954,12.108754027926944,58.65384615384617
Terminal-Bench,Devstral,TRC,9,16.98148148148148,13.018518518518517,30.440967283072553,-1.1012653572624427,86.80288839531408
Terminal-Bench,Devstral,SU,9,19.925925925925927,20.185185185185187,-1.2844036697247763,-40.31220635320358,77.43791201586276
Terminal-Bench,Devstral,SU-p,9,21.01851851851852,16.962962962962962,23.908296943231445,-6.320582090447445,92.62870003051566
Terminal-Bench,Devstral,SS,9,18.351851851851855,21.962962962962962,-16.44182124789205,-38.844394188356205,24.917776083514106
Terminal-Bench,Devstral,SS-p,8,19.729166666666668,15.145833333333334,30.261348005502064,-26.63935574229692,122.24888713094313
Terminal-Bench,Devstral,TRC+SU,6,23.5,18.027777777777775,30.35439137134055,-7.285974499089242,138.94009216589862
Terminal-Bench,Devstral,TRC+SS,7,19.476190476190478,20.714285714285715,-5.977011494252871,-40.95238095238095,17.59192501802451
Terminal-Bench,Devstral,OTRC+TR,8,45.875,18.208333333333336,151.94508009153313,56.54800134363452,311.9341854556999
Terminal-Bench,Devstral,OTRC+SU-p,4,7.583333333333332,8.375,-9.452736318407972,-21.58054711246202,10.344827586206872
Terminal-Bench,Devstral,OTRC+SS-p,9,28.444444444444443,14.444444444444445,96.9230769230769,6.643560267187238,203.5039825534529
Terminal-Bench,Devstral,OTRC,9,16.666666666666668,15.185185185185183,9.75609756097564,-19.974581826296372,55.620626221193675
Terminal-Bench,GLM,TR,6,34.666666666666664,16.38888888888889,111.52542372881355,7.894736842105243,194.82788951922524
Terminal-Bench,GLM,TRC,8,22.6875,14.229166666666666,59.443631039531475,13.992443808996718,88.44884488448845
Terminal-Bench,GLM,SU,3,8.777777777777777,10.944444444444445,-19.79695431472083,-30.23255813953488,0.0
Terminal-Bench,GLM,SU-p,4,15.041666666666666,12.458333333333334,20.735785953177242,2.941176470588247,26.277372262773714
Terminal-Bench,GLM,SS,3,6.5,6.111111111111111,6.363636363636371,-18.181818181818176,35.71428571428572
Terminal-Bench,GLM,SS-p,4,16.041666666666668,13.208333333333334,21.451104100946374,-5.12820512820511,49.01960784313728
Terminal-Bench,GLM,TRC+SU,2,6.166666666666666,5.666666666666666,8.823529411764696,0.0,25.0
Terminal-Bench,GLM,TRC+SS,5,7.633333333333335,10.266666666666667,-25.649350649350644,-33.33333333333333,-6.741573033707859
Terminal-Bench,GLM,OTRC+TR,6,20.63888888888889,12.694444444444445,62.582056892779,-30.645161290322587,199.80694980694986
Terminal-Bench,GLM,OTRC+SU-p,3,6.0,6.111111111111111,-1.8181818181818077,-22.72727272727272,14.28571428571428
Terminal-Bench,GLM,OTRC+SS-p,4,7.083333333333333,7.458333333333333,-5.027932960893855,-10.769230769230765,0.0
Terminal-Bench,GLM,OTRC,8,28.5625,22.479166666666664,27.062094531974058,-2.389159353447357,45.18016657895927
