benchmark,model_key,p,q,estimate,lo,hi,n_tasks,p_attempts,q_attempts
SWE-bench,qwen35b,SS-p,SS,9.333333333333334,4.000000000000001,14.666666666666664,100,300,300
SWE-bench,qwen35b,TRC+SS,SS,10.333333333333336,5.333333333333332,15.666666666666668,100,300,300
SWE-bench,qwen35b,OTRC,TRC,2.3333333333333344,-3.666666666666666,8.333333333333334,100,300,300
SWE-bench,qwen35b,OTRC+SS-p,OTRC,-4.333333333333332,-9.333333333333332,0.6666666666666665,100,300,300
SWE-bench,devstral24b,SS-p,SS,8.666666666666666,3.666666666666667,13.666666666666668,100,300,300
SWE-bench,devstral24b,TRC+SS,SS,9.666666666666668,4.333333333333334,15.000000000000002,100,300,300
SWE-bench,devstral24b,OTRC,TRC,-14.33333333333333,-20.33333333333333,-8.333333333333334,100,300,300
SWE-bench,devstral24b,OTRC+SS-p,OTRC,1.666666666666667,-3.666666666666667,7.0,100,300,300
SWE-bench,glm47flash,SS-p,SS,8.0,3.0,13.333333333333336,100,300,300
SWE-bench,glm47flash,TRC+SS,SS,9.666666666666666,4.666666666666667,14.666666666666668,100,300,300
SWE-bench,glm47flash,OTRC,TRC,2.666666666666666,-3.0000000000000004,8.333333333333332,100,300,300
SWE-bench,glm47flash,OTRC+SS-p,OTRC,-7.666666666666665,-13.000000000000002,-2.3333333333333326,100,300,300
Terminal-Bench,qwen35b,SS-p,SS,0.0,-5.833333333333333,6.666666666666666,40,120,120
Terminal-Bench,qwen35b,TRC+SS,SS,6.666666666666667,-1.666666666666666,15.833333333333332,40,120,120
Terminal-Bench,qwen35b,OTRC,TRC,8.333333333333334,-1.6666666666666656,19.166666666666664,40,120,120
Terminal-Bench,qwen35b,OTRC+SS-p,OTRC,-12.5,-24.166666666666664,-2.499999999999999,40,120,120
Terminal-Bench,devstral24b,SS-p,SS,4.999999999999998,-3.333333333333333,13.333333333333332,40,120,120
Terminal-Bench,devstral24b,TRC+SS,SS,-1.6666666666666665,-7.5,4.166666666666666,40,120,120
Terminal-Bench,devstral24b,OTRC,TRC,0.8333333333333333,-5.0,7.499999999999998,40,120,120
Terminal-Bench,devstral24b,OTRC+SS-p,OTRC,-7.499999999999998,-14.166666666666663,-0.8333333333333333,40,120,120
Terminal-Bench,glm47flash,SS-p,SS,0.8333333333333328,-6.666666666666666,7.499999999999998,40,120,120
Terminal-Bench,glm47flash,TRC+SS,SS,4.999999999999999,-1.6666666666666672,11.666666666666666,40,120,120
Terminal-Bench,glm47flash,OTRC,TRC,3.333333333333332,-5.000000000000002,12.499999999999998,40,120,120
Terminal-Bench,glm47flash,OTRC+SS-p,OTRC,-12.5,-24.16666666666666,-1.6666666666666683,40,120,120
