benchmark,model_key,policy,metric,value,rank,n_tasks
SWE-bench,qwen35b,FC,resolve,53.0,2.0,100
SWE-bench,qwen35b,TR,resolve,44.33333333333333,11.0,100
SWE-bench,qwen35b,TRC,resolve,53.666666666666664,1.0,100
SWE-bench,qwen35b,SU,resolve,42.0,13.0,100
SWE-bench,qwen35b,SU-p,resolve,48.99999999999999,7.5,100
SWE-bench,qwen35b,SS,resolve,42.99999999999999,12.0,100
SWE-bench,qwen35b,SS-p,resolve,49.666666666666664,6.0,100
SWE-bench,qwen35b,TRC+SU,resolve,52.0,3.0,100
SWE-bench,qwen35b,TRC+SS,resolve,50.66666666666666,5.0,100
SWE-bench,qwen35b,OTRC+TR,resolve,45.33333333333333,10.0,100
SWE-bench,qwen35b,OTRC+SU-p,resolve,49.0,7.5,100
SWE-bench,qwen35b,OTRC+SS-p,resolve,46.99999999999999,9.0,100
SWE-bench,qwen35b,OTRC,resolve,51.33333333333333,4.0,100
SWE-bench,qwen35b,FC,latency_ratio,1.0,11.0,91
SWE-bench,qwen35b,TR,latency_ratio,0.9473238271689116,10.0,91
SWE-bench,qwen35b,TRC,latency_ratio,0.7867366048888748,1.0,89
SWE-bench,qwen35b,SU,latency_ratio,1.0007045565778365,12.0,91
SWE-bench,qwen35b,SU-p,latency_ratio,0.9042773836334893,8.0,88
SWE-bench,qwen35b,SS,latency_ratio,1.0016619840162313,13.0,88
SWE-bench,qwen35b,SS-p,latency_ratio,0.9187313191841285,9.0,90
SWE-bench,qwen35b,TRC+SU,latency_ratio,0.882061652525376,4.0,90
SWE-bench,qwen35b,TRC+SS,latency_ratio,0.8975009637755296,7.0,90
SWE-bench,qwen35b,OTRC+TR,latency_ratio,0.8908021448638416,6.0,91
SWE-bench,qwen35b,OTRC+SU-p,latency_ratio,0.794821667755217,2.0,89
SWE-bench,qwen35b,OTRC+SS-p,latency_ratio,0.8851556909171975,5.0,88
SWE-bench,qwen35b,OTRC,latency_ratio,0.8811595442832292,3.0,89
SWE-bench,qwen35b,FC,billed_input_ratio,1.0,13.0,91
SWE-bench,qwen35b,TR,billed_input_ratio,0.8664668656074975,8.0,91
SWE-bench,qwen35b,TRC,billed_input_ratio,0.7138554599961907,1.0,89
