cell,task,key,reason,resolved_audit_20260910,resolved_index_now,already_reeval_20260911,resolved_reeval_20260923,verdict_source,status,error
d05__b10k__ss,django__django-12304,django__django-12304__structured-summarize__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b10k__ss-partial,django__django-13809,django__django-13809__structured-summarize-partial__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__su-full,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__su-full,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__summarization__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b10k__su-full,sympy__sympy-15349,sympy__sympy-15349__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__su-partial,sympy__sympy-16450,sympy__sympy-16450__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__tr,django__django-12304,django__django-12304__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__tr,django__django-13809,django__django-13809__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b10k__tr,scikit-learn__scikit-learn-13135,scikit-learn__scikit-learn-13135__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__tr,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__truncation__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b10k__tr,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__truncation__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b10k__tr,sympy__sympy-13798,sympy__sympy-13798__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b10k__tr,sympy__sympy-16450,sympy__sympy-16450__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b10k__tr,sympy__sympy-17139,sympy__sympy-17139__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__structured-summarize__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__structured-summarize__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__structured-summarize__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__structured-summarize__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14983__structured-summarize__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__structured-summarize__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__structured-summarize__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,sympy__sympy-15017,sympy__sympy-15017__structured-summarize__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,sympy__sympy-15017,sympy__sympy-15017__structured-summarize__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,sympy__sympy-17139,sympy__sympy-17139__structured-summarize__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__ss,sympy__sympy-19637,sympy__sympy-19637__structured-summarize__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,sympy__sympy-19637,sympy__sympy-19637__structured-summarize__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss,sympy__sympy-24443,sympy__sympy-24443__structured-summarize__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__structured-summarize-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__structured-summarize-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__ss-partial,scikit-learn__scikit-learn-14894,scikit-learn__scikit-learn-14894__structured-summarize-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__ss-partial,scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14983__structured-summarize-partial__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__ss-partial,sympy__sympy-15875,sympy__sympy-15875__structured-summarize-partial__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b15k__su-full,django__django-12304,django__django-12304__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__su-full,django__django-13012,django__django-13012__summarization__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,django__django-13809,django__django-13809__summarization__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b15k__su-full,django__django-14915,django__django-14915__summarization__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__summarization__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__summarization__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__summarization__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__summarization__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__summarization__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,scikit-learn__scikit-learn-26194,scikit-learn__scikit-learn-26194__summarization__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__su-full,sympy__sympy-13372,sympy__sympy-13372__summarization__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__su-full,sympy__sympy-15017,sympy__sympy-15017__summarization__r1,legacy_evaluation_reports_missing,False,False,False,False,report,verified,
d05__b15k__su-full,sympy__sympy-15017,sympy__sympy-15017__summarization__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,sympy__sympy-19637,sympy__sympy-19637__summarization__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,sympy__sympy-19637,sympy__sympy-19637__summarization__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__su-full,sympy__sympy-19954,sympy__sympy-19954__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__su-partial,django__django-15741,django__django-15741__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-11578,scikit-learn__scikit-learn-11578__summarization-partial__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-12585,scikit-learn__scikit-learn-12585__summarization-partial__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-12973,scikit-learn__scikit-learn-12973__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__summarization-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__summarization-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__su-partial,scikit-learn__scikit-learn-26194,scikit-learn__scikit-learn-26194__summarization-partial__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__su-partial,sympy__sympy-18211,sympy__sympy-18211__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__tr,django__django-12276,django__django-12276__truncation__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b15k__tr,django__django-12304,django__django-12304__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,django__django-13809,django__django-13809__truncation__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b15k__tr,django__django-15741,django__django-15741__truncation__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
