cell,key,task,run_num,action,reason,result_file,timestamp,resolved,model_tag
d05__bP__su-full,django__django-11292__summarization__r1,django__django-11292,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:00:52.530623,,glm47-flash
d05__bP__su-full,django__django-11292__summarization__r2,django__django-11292,2,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:02:07.566811,,glm47-flash
d05__bP__su-full,django__django-14915__summarization__r1,django__django-14915,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:14:01.953619,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-10297__summarization__r1,scikit-learn__scikit-learn-10297,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:30:57.278122,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-13328__summarization__r1,scikit-learn__scikit-learn-13328,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:35:24.780915,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-11578__summarization__r1,scikit-learn__scikit-learn-11578,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:36:48.334300,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-13779__summarization__r2,scikit-learn__scikit-learn-13779,2,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:38:25.790468,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-11310__summarization__r1,scikit-learn__scikit-learn-11310,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:40:41.957423,,glm47-flash
d05__bP__su-full,sympy__sympy-11618__summarization__r1,sympy__sympy-11618,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:53:11.516063,,glm47-flash
d05__bP__su-full,sympy__sympy-11618__summarization__r3,sympy__sympy-11618,3,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:53:35.921187,,glm47-flash
d05__bP__su-full,scikit-learn__scikit-learn-13779__summarization__r3,scikit-learn__scikit-learn-13779,3,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:58:21.291529,,glm47-flash
d05__bP__su-full,sympy__sympy-13757__summarization__r2,sympy__sympy-13757,2,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T13:59:57.246681,,glm47-flash
d05__bP__su-full,sympy__sympy-15017__summarization__r3,sympy__sympy-15017,3,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:02:19.692208,,glm47-flash
d05__bP__su-full,sympy__sympy-24066__summarization__r1,sympy__sympy-24066,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:09:26.907173,,glm47-flash
d05__bP__su-full,sympy__sympy-15345__summarization__r1,sympy__sympy-15345,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:14:37.614085,,glm47-flash
d05__bP__su-full,django__django-11095__summarization__r3,django__django-11095,3,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:28:21.574594,,glm47-flash
d05__bP__su-full,django__django-12276__summarization__r1,django__django-12276,1,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:40:45.888504,,glm47-flash
d05__bP__su-full,django__django-13809__summarization__r3,django__django-13809,3,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:46:06.086388,,glm47-flash
d05__bP__su-full,django__django-13810__summarization__r2,django__django-13810,2,evaluate_only,stale_report_different_patch,ICLR_results/swebench/main/glm47flash/d05__bP__su-full/experiment_results.json,2026-09-10T14:54:48.876549,,glm47-flash
