cell,key,task,run_num,action,reason,result_file,timestamp,resolved,model_tag
d05__b10k__su-full,scikit-learn__scikit-learn-14496__summarization__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b10k__su-full/experiment_results.json,2026-04-20T22:48:37.903185,False,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-14710__truncation__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,2026-05-02T02:17:28.944184,False,qwen35-a3b
d05__b10k__tr,scikit-learn__scikit-learn-15100__truncation__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b10k__tr/experiment_results.json,2026-04-20T22:51:27.062343,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14141__structured-summarize__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,2026-04-30T23:42:18.990924,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,2026-05-01T00:02:28.376029,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,2026-08-23T22:55:50.907437,False,qwen35-a3b
d05__b15k__ss,scikit-learn__scikit-learn-14983__structured-summarize__r1,scikit-learn__scikit-learn-14983,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss/experiment_results.json,2026-05-01T00:18:48.862073,False,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141__structured-summarize-partial__r1,scikit-learn__scikit-learn-14141,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-04-30T23:43:50.499410,False,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14141__structured-summarize-partial__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-04-30T23:44:01.018204,False,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14894__structured-summarize-partial__r2,scikit-learn__scikit-learn-14894,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-05-01T00:10:21.534100,False,qwen35-a3b
