cell,path,key,timestamp,exit_status,returncode,e2e_latency_s,n_calls,resolved,compression_events
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-13012/structured-summarize-partial/run_3/trajectory.json,django__django-13012__structured-summarize-partial__r3,2026-09-08T07:28:17.557484,,-1,1500.05,114,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_2/trajectory.json,sympy__sympy-13091__structured-summarize-partial__r2,2026-09-08T08:10:37.985303,,-1,1500.02,118,,4
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-13328/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-13328__structured-summarize-partial__r3,2026-09-08T07:53:17.567981,,-1,1500.01,87,,9
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-13779/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-13779__structured-summarize-partial__r3,2026-09-08T07:53:17.594279,,-1,1500.0,83,,5
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-10297__structured-summarize-partial__r3,2026-09-08T07:43:10.157279,,-1,1500.01,111,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-13964/structured-summarize-partial/run_3/trajectory.json,django__django-13964__structured-summarize-partial__r3,2026-09-08T07:28:17.613941,,-1,1500.05,81,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-13964/structured-summarize-partial/run_2/trajectory.json,django__django-13964__structured-summarize-partial__r2,2026-09-08T07:28:17.608408,,-1,1500.04,89,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-25747__structured-summarize-partial__r3,2026-09-08T08:00:48.367398,,-1,1500.01,62,,7
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_2/trajectory.json,scikit-learn__scikit-learn-25747__structured-summarize-partial__r2,2026-09-08T08:00:34.193508,,-1,1500.0,60,,7
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_1/trajectory.json,scikit-learn__scikit-learn-25747__structured-summarize-partial__r1,2026-09-08T07:59:01.912975,,-1,1500.01,81,,7
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-13031/structured-summarize-partial/run_2/trajectory.json,sympy__sympy-13031__structured-summarize-partial__r2,2026-09-08T08:07:13.593809,,-1,1500.0,107,,4
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-12273/structured-summarize-partial/run_3/trajectory.json,django__django-12273__structured-summarize-partial__r3,2026-09-08T07:28:17.591925,,-1,1500.05,80,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-12273/structured-summarize-partial/run_2/trajectory.json,django__django-12273__structured-summarize-partial__r2,2026-09-08T07:28:17.517912,,-1,1500.05,47,,3
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-12273/structured-summarize-partial/run_1/trajectory.json,django__django-12273__structured-summarize-partial__r1,2026-09-08T07:28:17.568942,,-1,1500.03,68,,4
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-14999/structured-summarize-partial/run_3/trajectory.json,django__django-14999__structured-summarize-partial__r3,2026-09-08T07:38:42.935905,,-1,1500.01,93,,5
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-14999/structured-summarize-partial/run_2/trajectory.json,django__django-14999__structured-summarize-partial__r2,2026-09-08T07:35:48.348479,,-1,1500.0,97,,7
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-14999/structured-summarize-partial/run_1/trajectory.json,django__django-14999__structured-summarize-partial__r1,2026-09-08T07:35:34.184950,,-1,1500.02,103,,5
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-11310/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-11310__structured-summarize-partial__r3,2026-09-08T07:49:16.421772,,-1,1500.0,114,,8
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-26323/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-26323__structured-summarize-partial__r3,2026-09-08T08:03:42.942597,,-1,1500.0,112,,8
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-26323/structured-summarize-partial/run_1/trajectory.json,scikit-learn__scikit-learn-26323__structured-summarize-partial__r1,2026-09-08T08:01:02.421764,,-1,1500.01,119,,9
