cell,path,key,timestamp,exit_status,returncode,e2e_latency_s,n_calls,resolved,compression_events
ablation/qwen35b/d07__b10k__su-partial,ICLR_results/swebench/ablation/qwen35b/d07__b10k__su-partial/sympy__sympy-11618/summarization-partial/run_1/trajectory.json,sympy__sympy-11618__summarization-partial__r1,2026-09-08T11:04:33.069315,Submitted,0,82.35,54,True,2
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-24066/structured-summarize-partial/run_3/trajectory.json,sympy__sympy-24066__structured-summarize-partial__r3,2026-09-08T08:13:23.326106,Submitted,0,701.61,79,True,4
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-24066/structured-summarize-partial/run_2/trajectory.json,sympy__sympy-24066__structured-summarize-partial__r2,2026-09-08T08:09:13.905291,Submitted,0,491.48,63,True,2
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-13012/structured-summarize-partial/run_3/trajectory.json,django__django-13012__structured-summarize-partial__r3,2026-09-08T07:28:17.557484,,-1,1500.05,114,,6
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-19637/structured-summarize-partial/run_3/trajectory.json,sympy__sympy-19637__structured-summarize-partial__r3,2026-09-08T08:03:22.834569,Submitted,0,154.46,24,True,1
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-19637/structured-summarize-partial/run_1/trajectory.json,sympy__sympy-19637__structured-summarize-partial__r1,2026-09-08T08:05:39.799261,Submitted,0,305.6,37,True,1
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-15100/structured-summarize-partial/run_3/trajectory.json,scikit-learn__scikit-learn-15100__structured-summarize-partial__r3,2026-09-08T07:56:45.897610,Submitted,0,1393.45,82,True,5
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-15100/structured-summarize-partial/run_2/trajectory.json,scikit-learn__scikit-learn-15100__structured-summarize-partial__r2,2026-09-08T07:42:13.587083,Submitted,0,628.26,40,,2
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/scikit-learn__scikit-learn-15100/structured-summarize-partial/run_1/trajectory.json,scikit-learn__scikit-learn-15100__structured-summarize-partial__r1,2026-09-08T07:33:32.446604,Submitted,0,314.83,17,True,1
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_3/trajectory.json,sympy__sympy-13091__structured-summarize-partial__r3,2026-09-08T08:04:12.278730,LimitsExceeded,0,1061.29,125,,5
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_2/trajectory.json,sympy__sympy-13091__structured-summarize-partial__r2,2026-09-08T08:10:37.985303,,-1,1500.02,118,,4
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-17630/structured-summarize-partial/run_3/trajectory.json,sympy__sympy-17630__structured-summarize-partial__r3,2026-09-08T08:16:07.269877,LimitsExceeded,0,966.53,125,,9
ablation/qwen35b/d03__b10k__ss-partial,ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-17630/structured-summarize-partial/run_2/trajectory.json,sympy__sympy-17630__structured-summarize-partial__r2,2026-09-08T08:16:16.229883,LimitsExceeded,0,1034.31,125,,10
