path,index,preceding_role,preceding_is_summary,preceding_has_think
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-11299/structured-summarize-partial/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/django__django-17087/structured-summarize-partial/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss-partial/sympy__sympy-13757/structured-summarize-partial/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss/sympy__sympy-13757/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss/django__django-11292/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b10k__ss/django__django-12273/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b15k__ss/scikit-learn__scikit-learn-10908/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss-partial/django__django-13012/structured-summarize-partial/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss-partial/sympy__sympy-13031/structured-summarize-partial/run_2/trajectory.json,3,user,False,False
ICLR_results/swebench/ablation/qwen35b/d03__b15k__ss-partial/scikit-learn__scikit-learn-25747/structured-summarize-partial/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d03__b20k__ss-partial/django__django-11299/structured-summarize-partial/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-13012/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/sympy__sympy-17630/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-11299/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-11299/structured-summarize/run_3/trajectory.json,4,user,False,False
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-11299/structured-summarize/run_3/trajectory.json,5,user,False,False
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-11299/structured-summarize/run_3/trajectory.json,6,user,False,False
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-11299/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/scikit-learn__scikit-learn-13779/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/sympy__sympy-15345/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-13964/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-13964/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-13964/structured-summarize/run_1/trajectory.json,3,user,True,True
