task_name,primitive,token_budget,depth,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears
django__django-12276,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,57,699613,692328,7285,505.27,470.352,8.252,0,1.0,0,0.0,0,0
django__django-12304,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,33,281425,273543,7882,533.93,479.281,14.978,0,1.0,0,0.0,0,0
django__django-12276,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,46,452708,443047,9661,926.36,632.509,14.375,0,1.0,0,0.0,0,0
django__django-11477,FC,999999999,0.5,1,django__django,False,LimitsExceeded,False,limits_exceeded,125,2468081,2456915,11166,986.84,864.417,6.915,0,1.0,0,0.0,0,0
django__django-12304,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,47,706554,695199,11355,1030.1,773.148,16.808,0,1.0,0,0.0,0,0
django__django-11433,FC,999999999,0.5,2,django__django,False,,False,silent_crash,53,707019,695110,11909,1500.01,770.626,15.413,0,1.0,0,0.0,0,0
django__django-11477,FC,999999999,0.5,2,django__django,False,,False,silent_crash,74,1367448,1350946,16502,1500.01,1115.902,15.499,0,1.0,0,0.0,0,0
django__django-11734,FC,999999999,0.5,1,django__django,False,,False,silent_crash,74,1439339,1425682,13657,1500.0,930.301,12.921,0,1.0,0,0.0,0,0
django__django-13809,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,38,452471,445078,7393,608.2,583.0,15.757,0,1.0,0,0.0,0,0
django__django-12325,FC,999999999,0.5,1,django__django,False,,False,silent_crash,106,4380233,4363585,16648,1500.0,1416.836,13.366,0,1.0,0,0.0,0,0
django__django-12325,FC,999999999,0.5,2,django__django,False,,False,silent_crash,77,1350435,1336123,14312,1500.0,1144.001,15.053,0,1.0,0,0.0,0,0
django__django-13809,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,33,284789,279538,5251,707.52,358.401,11.2,0,1.0,0,0.0,0,0
django__django-12663,FC,999999999,0.5,1,django__django,False,,False,silent_crash,78,1700061,1682098,17963,1500.0,1363.51,17.708,0,1.0,0,0.0,0,0
django__django-12663,FC,999999999,0.5,2,django__django,False,,False,silent_crash,92,1839104,1825847,13257,1500.0,1132.344,12.723,0,1.0,0,0.0,0,0
django__django-14725,FC,999999999,0.5,1,django__django,False,Submitted,True,submitted_unresolved,99,3534335,3519462,14873,1327.11,1275.163,13.012,0,1.0,0,0.0,0,0
django__django-13810,FC,999999999,0.5,1,django__django,False,,False,silent_crash,52,747970,727074,20896,1500.01,1474.853,28.363,0,1.0,0,0.0,0,0
django__django-13810,FC,999999999,0.5,2,django__django,False,,False,silent_crash,49,778595,762492,16103,1500.01,1228.381,26.704,0,1.0,0,0.0,0,0
django__django-14351,FC,999999999,0.5,1,django__django,False,,False,silent_crash,74,1350621,1342761,7860,1500.0,662.402,9.463,0,1.0,0,0.0,0,0
django__django-14351,FC,999999999,0.5,2,django__django,False,,False,silent_crash,103,2062966,2049583,13383,1500.01,1077.901,11.112,0,1.0,0,0.0,0,0
django__django-14725,FC,999999999,0.5,2,django__django,False,,False,silent_crash,69,1556985,1537339,19646,1500.02,1435.112,21.105,0,1.0,0,0.0,0,0
django__django-15278,FC,999999999,0.5,2,django__django,True,Submitted,True,resolved,66,1114789,1099635,15154,935.55,829.188,13.82,0,1.0,0,0.0,0,0
django__django-15368,FC,999999999,0.5,1,django__django,True,Submitted,True,resolved,87,1051124,1040124,11000,952.75,661.773,7.878,0,1.0,0,0.0,0,0
