task_name,primitive,token_budget,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears,ablation,depth
django__django-11066,SU-full,12000,1,django__django,,Submitted,False,silent_crash,5,13562,13111,451,18.06,11.368,2.274,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SS-partial,12000,2,django__django,,Submitted,False,silent_crash,7,15864,15351,513,19.61,12.877,1.84,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,TRC+SS,12000,1,django__django,,Submitted,False,silent_crash,7,13269,12761,508,20.71,12.551,2.092,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,TRC,12000,2,django__django,,Submitted,False,silent_crash,6,13516,12958,558,20.96,13.534,2.256,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SS-partial,12000,1,django__django,,Submitted,False,silent_crash,7,15748,15157,591,21.61,14.279,2.04,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,TRC+SU,12000,2,django__django,,Submitted,False,silent_crash,7,15974,15369,605,21.91,14.739,2.106,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SU-partial,12000,1,django__django,,Submitted,False,silent_crash,7,16554,15890,664,23.22,16.535,2.362,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SS,12000,2,django__django,,Submitted,False,silent_crash,8,18754,18059,695,24.61,17.172,2.147,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,SU-partial,12000,2,django__django,,Submitted,False,silent_crash,8,18553,17847,706,24.71,17.495,2.187,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
django__django-11066,TR,12000,1,django__django,,Submitted,False,silent_crash,9,21599,20868,731,24.86,17.814,1.979,0,1.0,0,0.0,0,0,qwen25-7b-budgeted-12000,0.5
