task_name,primitive,token_budget,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears
django__django-11066,FC,999999999,2,django__django,,Submitted,False,silent_crash,3,6494,6016,478,103.52,56.78,18.927,0,1.0,0,0.0,0,0
django__django-11292,FC,999999999,1,django__django,,,False,silent_crash,0,0,0,0,122.96,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,TRC+SS,20000,2,django__django,,,False,silent_crash,0,0,0,0,122.97,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11292,TRC+SS,20000,2,django__django,,,False,silent_crash,0,0,0,0,122.96,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,TR,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.0,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,SU-full,20000,1,django__django,,,False,silent_crash,0,0,0,0,123.0,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,SU-full,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.12,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11292,SU-full,20000,1,django__django,,,False,silent_crash,0,0,0,0,123.11,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,FC,999999999,1,django__django,,,False,silent_crash,0,0,0,0,123.17,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,TRC+SS,20000,1,django__django,,,False,silent_crash,0,0,0,0,123.2,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11066,TR,20000,1,django__django,,,False,silent_crash,0,0,0,0,123.23,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11292,TR,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.22,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11292,SU-full,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.27,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11292,FC,999999999,2,django__django,False,Submitted,True,submitted_unresolved,6,23199,22522,677,126.88,80.973,13.496,0,1.0,0,0.0,0,0
django__django-11292,TRC+SS,20000,1,django__django,False,Submitted,True,submitted_unresolved,6,17429,16559,870,138.35,91.431,15.239,0,1.0,0,0.0,0,0
django__django-11292,TR,20000,1,django__django,False,Submitted,True,submitted_unresolved,9,32978,31757,1221,159.76,111.065,12.341,0,1.0,0,0.0,0,0
django__django-11299,FC,999999999,1,django__django,,,False,silent_crash,0,0,0,0,122.94,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,TR,20000,1,django__django,,,False,silent_crash,0,0,0,0,122.71,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,SU-full,20000,1,django__django,,,False,silent_crash,0,0,0,0,122.71,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,SU-full,20000,2,django__django,,,False,silent_crash,0,0,0,0,122.97,0.0,0.0,0,1.0,0,0.0,0,0
django__django-12273,FC,999999999,2,django__django,,,False,silent_crash,0,0,0,0,122.78,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,FC,999999999,2,django__django,,,False,silent_crash,0,0,0,0,123.04,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,TR,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.05,0.0,0.0,0,1.0,0,0.0,0,0
django__django-12273,FC,999999999,1,django__django,,,False,silent_crash,0,0,0,0,122.89,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,TRC+SS,20000,2,django__django,,,False,silent_crash,0,0,0,0,123.0,0.0,0.0,0,1.0,0,0.0,0,0
django__django-11299,TRC+SS,20000,1,django__django,,,False,silent_crash,0,0,0,0,123.0,0.0,0.0,0,1.0,0,0.0,0,0
django__django-12273,SU-full,20000,1,django__django,,,False,silent_crash,0,0,0,0,122.85,0.0,0.0,0,1.0,0,0.0,0,0
django__django-12273,TR,20000,1,django__django,,,False,silent_crash,0,0,0,0,122.95,0.0,0.0,0,1.0,0,0.0,0,0
