task_name,primitive,token_budget,run_num,repo,resolved,exit_status,patch_generated,failure_mode,step_count,total_tokens_consumed,total_prompt_tokens,total_completion_tokens,latency_e2e_s,latency_llm_s,mean_step_latency_s,compression_events,mean_compression_ratio,summarization_prompt_tokens,summarization_latency_s,trc_fallback_events,online_trc_clears,ablation,depth
django__django-11066,SU-full,20000,2,django__django,False,Submitted,False,silent_crash,2,4137,3791,346,141.1,73.331,36.666,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,FC,999999999,2,django__django,False,Submitted,False,silent_crash,3,6274,5903,371,147.01,84.987,28.329,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,TRC+SS,20000,2,django__django,False,Submitted,False,silent_crash,3,6272,5896,376,161.15,100.198,33.399,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,TRC+SS,20000,1,django__django,False,Submitted,False,silent_crash,4,8743,8287,456,188.96,127.314,31.828,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,TR,20000,2,django__django,False,Submitted,False,silent_crash,5,10999,10430,569,208.35,142.892,28.578,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,TR,20000,2,django__django,False,Submitted,False,silent_crash,6,19168,18513,655,208.94,152.697,25.449,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,FC,999999999,2,django__django,False,Submitted,True,submitted_unresolved,7,21044,20386,658,222.54,163.981,23.426,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,FC,999999999,1,django__django,False,Submitted,True,submitted_unresolved,6,16738,16106,632,232.85,165.508,27.585,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,SU-full,20000,2,django__django,False,Submitted,True,submitted_unresolved,7,20745,19997,748,257.95,195.043,27.863,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,TR,20000,1,django__django,False,Submitted,True,submitted_unresolved,7,20910,20084,826,266.39,198.804,28.401,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,TRC+SS,20000,2,django__django,False,Submitted,True,submitted_unresolved,9,28852,27942,910,290.62,223.153,24.795,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,TRC+SS,20000,1,django__django,False,Submitted,True,submitted_unresolved,9,28756,27805,951,343.43,279.92,31.102,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,TR,20000,1,django__django,False,Submitted,False,silent_crash,11,28928,27639,1289,388.72,326.179,29.653,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,FC,999999999,1,django__django,False,Submitted,True,submitted_unresolved,11,30246,28714,1532,438.49,371.334,33.758,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,TRC+SS,20000,1,django__django,False,Submitted,True,submitted_unresolved,4,11980,10850,1130,255.52,249.935,62.484,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,FC,999999999,1,django__django,False,Submitted,True,submitted_unresolved,5,16653,14945,1708,395.65,386.97,77.394,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,TR,20000,1,django__django,False,Submitted,False,silent_crash,12,38286,36290,1996,581.99,475.998,43.273,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-12273,FC,999999999,2,django__django,False,Submitted,False,silent_crash,12,47689,45595,2094,581.96,575.705,47.975,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,FC,999999999,2,django__django,False,Submitted,True,submitted_unresolved,15,141734,138824,2910,862.13,854.191,56.946,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-12273,SU-full,20000,1,django__django,False,Submitted,True,submitted_unresolved,12,64745,62812,1933,620.42,614.418,51.202,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,FC,999999999,2,django__django,False,Submitted,True,submitted_unresolved,4,15641,14952,689,330.17,324.783,81.196,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,FC,999999999,1,django__django,False,Submitted,True,submitted_unresolved,7,20338,19411,927,465.17,312.091,52.015,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,TR,20000,1,django__django,False,Submitted,True,submitted_unresolved,5,21519,20792,727,277.24,271.38,54.276,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,SU-full,20000,1,django__django,False,Submitted,True,submitted_unresolved,6,14875,14085,790,254.15,248.521,41.42,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11066,SU-full,20000,1,django__django,False,,False,silent_crash,32,144419,139757,4662,1500.0,1402.61,43.832,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11292,SU-full,20000,1,django__django,False,,False,silent_crash,49,421680,417092,4588,1500.01,1398.27,28.536,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,TR,20000,2,django__django,False,Submitted,True,submitted_unresolved,12,53827,52341,1486,551.01,544.821,45.402,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,SU-full,20000,2,django__django,False,Submitted,True,submitted_unresolved,7,16541,15492,1049,461.38,379.968,63.328,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,TR,20000,2,django__django,False,,False,silent_crash,32,258620,254109,4511,1500.0,1468.641,45.895,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-13012,TRC+SS,20000,1,django__django,False,Submitted,True,submitted_unresolved,7,17754,16804,950,413.33,407.671,58.239,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-12273,TR,20000,1,django__django,False,Submitted,True,submitted_unresolved,7,29850,28498,1352,1409.63,517.674,86.279,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
django__django-11299,SU-full,20000,1,django__django,False,,False,silent_crash,23,146805,142202,4603,1500.0,1485.604,64.591,0,1.0,0,0.0,0,0,qwen3-30b-a3b-awq-int4,0.5
