task,run,model,section,primitive,condition,cell,budget,depth,difficulty,cohorts,cause,cause_label,cause_detail,resolved,failure_mode,exit_status,exit_status_source,harness_returncode,ctx_error_in_log,model_ctx_window,step_count,max_step_prompt_tokens,total_tokens,latency_e2e_s,latency_llm_s,patch_generated,compression_events,seeded_from,run_dir
django__django-11292,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18968,1379138,631.51,542.026,False,4,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-11292/structured-summarize/run_2
django__django-12273,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18292,1203881,505.05,456.38,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-12273/structured-summarize/run_1
django__django-12273,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17882,1230367,800.94,625.475,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-12273/structured-summarize/run_2
django__django-12273,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18068,1286258,645.66,587.389,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-12273/structured-summarize/run_3
django__django-13012,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18043,1156047,459.09,385.199,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-13012/structured-summarize/run_1
django__django-13012,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18671,1297989,676.84,602.501,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-13012/structured-summarize/run_3
django__django-13964,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,78,18214,846662,343.06,274.915,True,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-13964/structured-summarize/run_1
django__django-13964,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,62,17613,701475,555.85,518.002,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-13964/structured-summarize/run_2
django__django-13964,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18213,1417574,807.58,631.957,False,4,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-13964/structured-summarize/run_3
django__django-14580,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18648,1403368,547.08,454.224,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-14580/structured-summarize/run_2
django__django-14580,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17746,1323036,561.88,386.276,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-14580/structured-summarize/run_3
django__django-14999,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18796,1364188,832.57,754.344,False,4,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-14999/structured-summarize/run_2
django__django-14999,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17835,1384714,614.17,531.282,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/django__django-14999/structured-summarize/run_3
scikit-learn__scikit-learn-11310,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18610,1490647,343.43,264.313,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/scikit-learn__scikit-learn-11310/structured-summarize/run_2
scikit-learn__scikit-learn-13328,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18462,1497911,691.3,580.127,False,5,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/scikit-learn__scikit-learn-13328/structured-summarize/run_1
scikit-learn__scikit-learn-13328,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,50,18497,532623,193.7,146.517,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/scikit-learn__scikit-learn-13328/structured-summarize/run_3
sympy__sympy-11618,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18029,1243515,377.37,302.159,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-11618/structured-summarize/run_2
sympy__sympy-13031,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,87,17956,901293,471.03,414.971,True,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13031/structured-summarize/run_1
sympy__sympy-13031,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,106,18293,1004296,439.02,379.177,True,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13031/structured-summarize/run_2
sympy__sympy-13031,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,61,16227,539036,194.89,170.531,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13031/structured-summarize/run_3
sympy__sympy-13091,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18098,1278730,408.0,314.835,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13091/structured-summarize/run_1
sympy__sympy-13091,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18213,1260026,343.7,289.2,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13091/structured-summarize/run_2
sympy__sympy-13091,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,89,17920,870895,274.78,229.275,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13091/structured-summarize/run_3
sympy__sympy-13757,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18168,1218608,270.14,232.227,False,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13757/structured-summarize/run_1
sympy__sympy-13757,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18114,1438999,337.12,254.536,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-13757/structured-summarize/run_2
sympy__sympy-15017,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,52,17429,539722,169.47,154.878,True,0,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-15017/structured-summarize/run_1
sympy__sympy-15017,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,48,16075,465546,205.73,187.996,True,0,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-15017/structured-summarize/run_2
sympy__sympy-15017,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,45,13343,393071,193.09,83.363,True,0,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-15017/structured-summarize/run_3
sympy__sympy-15345,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17659,1191102,327.62,256.933,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-15345/structured-summarize/run_1
