model,section,primitive,budget,depth,n_runs,context_limit,timeout,step_limit,submitted_unresolved,other:InternalServerError
devstral24b,ablation,otrc-ss-partial,17000,0.5,38,0,0,26,12,0
devstral24b,ablation,otrc-ss-partial,24000,0.5,48,0,1,26,21,0
devstral24b,ablation,otrc-su-partial,17000,0.5,34,0,0,20,14,0
devstral24b,ablation,otrc-su-partial,24000,0.5,42,0,0,30,12,0
devstral24b,ablation,otrc-tr,17000,0.5,51,0,3,27,21,0
devstral24b,ablation,otrc-tr,24000,0.5,46,0,2,28,16,0
devstral24b,ablation,ss,17000,0.3,33,0,0,21,12,0
devstral24b,ablation,ss,17000,0.5,3,0,0,0,3,0
devstral24b,ablation,ss,17000,0.7,33,0,0,20,13,0
devstral24b,ablation,ss,21000,0.3,29,0,0,15,14,0
devstral24b,ablation,ss,21000,0.7,7,0,0,2,5,0
devstral24b,ablation,ss,24000,0.3,27,0,0,14,13,0
devstral24b,ablation,ss,24000,0.5,6,0,0,3,3,0
devstral24b,ablation,ss,24000,0.7,4,0,0,0,4,0
devstral24b,ablation,ss-partial,17000,0.3,26,0,1,11,14,0
devstral24b,ablation,ss-partial,17000,0.5,3,0,0,0,3,0
devstral24b,ablation,ss-partial,17000,0.7,24,0,0,8,16,0
devstral24b,ablation,ss-partial,21000,0.3,26,0,0,11,15,0
devstral24b,ablation,ss-partial,21000,0.7,4,0,0,1,3,0
devstral24b,ablation,ss-partial,24000,0.3,24,0,0,5,19,0
devstral24b,ablation,ss-partial,24000,0.5,6,0,2,1,3,0
devstral24b,ablation,ss-partial,24000,0.7,5,0,0,1,4,0
devstral24b,ablation,su-full,17000,0.3,25,0,0,9,16,0
devstral24b,ablation,su-full,17000,0.5,1,0,0,0,1,0
devstral24b,ablation,su-full,17000,0.7,24,0,0,7,17,0
devstral24b,ablation,su-full,21000,0.3,22,0,0,8,14,0
devstral24b,ablation,su-full,21000,0.7,24,0,0,3,21,0
devstral24b,ablation,su-full,24000,0.3,24,0,0,8,16,0
devstral24b,ablation,su-full,24000,0.5,5,0,0,2,3,0
devstral24b,ablation,su-full,24000,0.7,5,0,0,0,5,0
devstral24b,ablation,su-partial,17000,0.3,21,0,0,8,13,0
devstral24b,ablation,su-partial,17000,0.5,1,0,0,0,1,0
devstral24b,ablation,su-partial,17000,0.7,17,0,0,6,11,0
devstral24b,ablation,su-partial,21000,0.3,20,0,0,4,16,0
devstral24b,ablation,su-partial,21000,0.7,2,0,0,0,2,0
devstral24b,ablation,su-partial,24000,0.3,19,0,0,5,14,0
devstral24b,ablation,su-partial,24000,0.5,4,0,0,0,4,0
devstral24b,ablation,su-partial,24000,0.7,7,0,4,0,3,0
devstral24b,ablation,tr,17000,0.3,33,0,0,15,18,0
devstral24b,ablation,tr,17000,0.5,27,0,0,11,16,0
devstral24b,ablation,tr,17000,0.7,25,0,0,8,17,0
devstral24b,ablation,tr,21000,0.3,29,0,0,9,20,0
devstral24b,ablation,tr,21000,0.7,23,0,0,5,18,0
devstral24b,ablation,tr,24000,0.3,30,0,1,11,18,0
devstral24b,ablation,tr,24000,0.5,28,0,0,9,19,0
devstral24b,ablation,tr,24000,0.7,28,0,0,10,18,0
devstral24b,ablation,trc,17000,0.5,33,0,0,13,20,0
devstral24b,ablation,trc,24000,0.5,33,0,0,10,23,0
devstral24b,ablation,trc-ss,17000,0.5,23,0,0,5,18,0
devstral24b,ablation,trc-ss,24000,0.5,22,0,0,4,18,0
devstral24b,ablation,trc-su,17000,0.5,15,0,0,2,13,0
devstral24b,ablation,trc-su,24000,0.5,21,0,0,4,17,0
devstral24b,main,fc,999999999,0.5,133,6,7,25,95,0
devstral24b,main,otrc,999999999,0.5,184,0,3,115,66,0
devstral24b,main,otrc-ss-partial,21000,0.5,179,0,0,111,68,0
devstral24b,main,otrc-su-partial,21000,0.5,186,0,1,115,70,0
devstral24b,main,otrc-tr,21000,0.5,184,0,6,109,69,0
devstral24b,main,ss,21000,0.5,158,0,0,84,74,0
devstral24b,main,ss-partial,21000,0.5,132,0,3,46,83,0
devstral24b,main,su-full,21000,0.5,142,0,3,49,90,0
devstral24b,main,su-partial,21000,0.5,134,0,1,42,91,0
devstral24b,main,tr,21000,0.5,133,0,1,54,78,0
devstral24b,main,trc,21000,0.5,141,0,0,45,96,0
devstral24b,main,trc-ss,21000,0.5,129,0,0,35,94,0
devstral24b,main,trc-su,21000,0.5,137,0,0,37,100,0
glm47flash,main,fc,999999999,0.5,58,4,22,0,32,0
glm47flash,main,ss,13000,0.5,19,0,1,0,18,0
glm47flash,main,su-full,13000,0.5,167,0,100,1,66,0
glm47flash,main,su-partial,13000,0.5,10,0,0,0,10,0
glm47flash,main,tr,13000,0.5,185,0,18,73,94,0
qwen35b,ablation,otrc-ss-partial,10000,0.5,41,0,3,32,6,0
qwen35b,ablation,otrc-ss-partial,20000,0.5,29,0,7,12,10,0
qwen35b,ablation,otrc-su-partial,10000,0.5,38,0,5,28,5,0
qwen35b,ablation,otrc-su-partial,20000,0.5,32,0,5,10,17,0
qwen35b,ablation,otrc-tr,10000,0.5,50,0,6,40,4,0
qwen35b,ablation,otrc-tr,20000,0.5,33,0,7,11,15,0
qwen35b,ablation,ss,10000,0.3,48,0,21,9,18,0
qwen35b,ablation,ss,10000,0.5,36,0,5,16,15,0
qwen35b,ablation,ss,10000,0.7,39,0,6,15,18,0
qwen35b,ablation,ss,15000,0.3,37,0,4,17,16,0
qwen35b,ablation,ss,15000,0.7,34,0,5,19,10,0
qwen35b,ablation,ss,20000,0.3,29,0,5,12,12,0
qwen35b,ablation,ss,20000,0.5,32,0,11,13,8,0
qwen35b,ablation,ss,20000,0.7,29,0,7,16,6,0
qwen35b,ablation,ss-partial,10000,0.3,38,0,20,11,7,0
qwen35b,ablation,ss-partial,10000,0.5,37,0,5,17,15,0
qwen35b,ablation,ss-partial,10000,0.7,33,0,5,10,18,0
qwen35b,ablation,ss-partial,15000,0.3,35,0,2,21,12,0
qwen35b,ablation,ss-partial,15000,0.7,25,0,4,6,15,0
qwen35b,ablation,ss-partial,20000,0.3,28,0,6,9,13,0
qwen35b,ablation,ss-partial,20000,0.5,22,0,5,4,13,0
qwen35b,ablation,ss-partial,20000,0.7,29,0,6,6,17,0
qwen35b,ablation,su-full,10000,0.3,41,0,4,23,14,0
qwen35b,ablation,su-full,10000,0.5,38,0,6,19,13,0
qwen35b,ablation,su-full,10000,0.7,41,0,3,22,16,0
qwen35b,ablation,su-full,15000,0.3,33,0,3,16,14,0
qwen35b,ablation,su-full,15000,0.7,39,0,6,17,16,0
qwen35b,ablation,su-full,20000,0.3,34,0,12,12,10,0
qwen35b,ablation,su-full,20000,0.5,30,0,8,10,12,0
qwen35b,ablation,su-full,20000,0.7,34,0,10,12,12,0
qwen35b,ablation,su-partial,10000,0.3,38,0,5,24,9,0
qwen35b,ablation,su-partial,10000,0.5,40,0,5,22,13,0
qwen35b,ablation,su-partial,10000,0.7,36,0,11,14,11,0
qwen35b,ablation,su-partial,15000,0.3,27,0,8,13,6,0
qwen35b,ablation,su-partial,15000,0.7,25,0,8,9,8,0
qwen35b,ablation,su-partial,20000,0.3,33,0,4,10,19,0
qwen35b,ablation,su-partial,20000,0.5,28,0,5,10,13,0
qwen35b,ablation,su-partial,20000,0.7,27,0,8,6,13,0
qwen35b,ablation,tr,10000,0.3,53,0,6,44,3,0
qwen35b,ablation,tr,10000,0.5,49,0,3,38,8,0
qwen35b,ablation,tr,10000,0.7,51,0,4,37,9,1
qwen35b,ablation,tr,15000,0.3,46,0,5,33,8,0
qwen35b,ablation,tr,15000,0.7,36,0,11,17,8,0
qwen35b,ablation,tr,20000,0.3,36,0,14,14,8,0
qwen35b,ablation,tr,20000,0.5,35,0,5,16,14,0
qwen35b,ablation,tr,20000,0.7,39,0,8,20,11,0
qwen35b,ablation,trc,10000,0.5,44,0,2,24,18,0
qwen35b,ablation,trc,20000,0.5,27,0,6,11,10,0
qwen35b,ablation,trc-ss,10000,0.5,29,0,2,16,11,0
qwen35b,ablation,trc-ss,20000,0.5,21,0,6,6,9,0
qwen35b,ablation,trc-su,10000,0.5,36,0,4,15,17,0
qwen35b,ablation,trc-su,20000,0.5,28,0,12,4,12,0
qwen35b,main,fc,999999999,0.5,153,1,67,15,70,0
qwen35b,main,otrc,999999999,0.5,146,0,48,36,62,0
qwen35b,main,otrc-ss-partial,10000,0.5,25,0,7,2,16,0
qwen35b,main,otrc-ss-partial,15000,0.5,159,0,66,27,66,0
qwen35b,main,otrc-ss-partial,20000,0.5,114,0,25,37,52,0
qwen35b,main,otrc-su-partial,10000,0.5,32,0,7,3,22,0
qwen35b,main,otrc-su-partial,15000,0.5,153,0,31,54,68,0
qwen35b,main,otrc-su-partial,20000,0.5,111,0,25,34,52,0
qwen35b,main,otrc-tr,10000,0.5,193,0,31,123,39,0
qwen35b,main,otrc-tr,15000,0.5,164,0,26,77,61,0
qwen35b,main,otrc-tr,20000,0.5,157,0,38,61,58,0
qwen35b,main,ss,10000,0.5,7,0,0,1,6,0
qwen35b,main,ss,15000,0.5,179,0,54,47,78,0
qwen35b,main,ss,20000,0.5,62,0,10,9,43,0
qwen35b,main,ss-partial,10000,0.5,4,0,0,0,4,0
qwen35b,main,ss-partial,15000,0.5,151,0,40,44,67,0
qwen35b,main,ss-partial,20000,0.5,44,0,11,3,30,0
qwen35b,main,su-full,10000,0.5,11,0,0,0,11,0
qwen35b,main,su-full,15000,0.5,182,0,35,74,73,0
qwen35b,main,su-full,20000,0.5,76,0,19,12,45,0
qwen35b,main,su-partial,10000,0.5,4,0,2,0,2,0
qwen35b,main,su-partial,15000,0.5,154,0,37,43,74,0
qwen35b,main,su-partial,20000,0.5,43,0,13,4,26,0
qwen35b,main,tr,10000,0.5,197,0,28,131,38,0
qwen35b,main,tr,15000,0.5,180,0,45,74,61,0
qwen35b,main,tr,20000,0.5,176,0,65,47,64,0
qwen35b,main,trc,10000,0.5,185,0,33,70,82,0
qwen35b,main,trc,15000,0.5,153,0,24,41,88,0
qwen35b,main,trc,20000,0.5,147,0,39,34,74,0
qwen35b,main,trc-ss,10000,0.5,44,0,8,13,23,0
qwen35b,main,trc-ss,15000,0.5,148,0,32,48,68,0
qwen35b,main,trc-ss,20000,0.5,112,0,43,18,51,0
qwen35b,main,trc-su,10000,0.5,45,0,5,8,32,0
qwen35b,main,trc-su,15000,0.5,144,0,32,35,77,0
qwen35b,main,trc-su,20000,0.5,112,0,41,14,57,0
