task,run,model,section,primitive,condition,cell,budget,depth,difficulty,cohorts,cause,cause_label,cause_detail,resolved,failure_mode,exit_status,exit_status_source,harness_returncode,ctx_error_in_log,model_ctx_window,step_count,max_step_prompt_tokens,total_tokens,latency_e2e_s,latency_llm_s,patch_generated,compression_events,seeded_from,run_dir
django__django-11087,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,88,35685,1658020,1441.87,661.375,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11087/full-context/run_1
django__django-11087,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,85,40037,1906561,540.07,513.953,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11087/full-context/run_2
django__django-11087,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,35,17216,438589,258.35,227.913,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11087/full-context/run_3
django__django-11299,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,60,29882,1101421,385.45,255.845,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11299/full-context/run_1
django__django-11433,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,<15 min fix,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,122,49517,3124651,1243.82,1004.019,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11433/full-context/run_1
django__django-11433,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,<15 min fix,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,53,26000,707019,1500.01,770.626,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11433/full-context/run_2
django__django-11433,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,<15 min fix,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,54,25774,800566,1276.08,771.171,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11433/full-context/run_3
django__django-11477,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,102400,125,38968,2468081,986.84,864.417,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11477/full-context/run_1
django__django-11477,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,74,34210,1367448,1500.01,1115.902,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11477/full-context/run_2
django__django-11477,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,114,37741,2782700,1500.03,1122.026,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11477/full-context/run_3
django__django-11734,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,74,42213,1439339,1500.0,930.301,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11734/full-context/run_1
django__django-11734,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,90,45402,1981854,1500.0,537.747,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11734/full-context/run_2
django__django-11734,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,60,32302,986699,1500.02,584.773,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-11734/full-context/run_3
django__django-12273,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,72,36919,1389195,1298.17,682.521,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12273/full-context/run_1
django__django-12273,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,82,35761,1560943,1500.0,649.847,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12273/full-context/run_2
django__django-12273,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,74,36566,1508154,1500.0,1457.483,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12273/full-context/run_3
django__django-12325,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,1-4 hours,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,106,68265,4380233,1500.0,1416.836,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12325/full-context/run_1
django__django-12325,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,1-4 hours,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,77,34099,1350435,1500.0,1144.001,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12325/full-context/run_2
django__django-12325,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,1-4 hours,p100;new70,context_limit,vLLM context window (max-model-len) exceeded,BadRequestError,,silent_crash,BadRequestError,outcomes_csv,1,True,102400,75,95937,2553994,736.07,466.636,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12325/full-context/run_3
django__django-12663,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,78,34127,1700061,1500.0,1363.51,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12663/full-context/run_1
django__django-12663,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,92,33668,1839104,1500.0,1132.344,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12663/full-context/run_2
django__django-12663,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,103,41203,2288031,1327.32,1123.916,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-12663/full-context/run_3
django__django-13012,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,82,34469,1281609,563.31,508.3,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-13012/full-context/run_1
django__django-13012,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,102400,44,24718,611902,254.4,236.823,True,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-13012/full-context/run_2
django__django-13810,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,52,26769,747970,1500.01,1474.853,False,0,,ICLR_experiments/swebench/main/qwen35b/di__binf__fc/django__django-13810/full-context/run_1
