task,run,model,section,primitive,condition,cell,budget,depth,difficulty,cohorts,cause,cause_label,cause_detail,resolved,failure_mode,exit_status,exit_status_source,harness_returncode,ctx_error_in_log,model_ctx_window,step_count,max_step_prompt_tokens,total_tokens,latency_e2e_s,latency_llm_s,patch_generated,compression_events,seeded_from,run_dir
django__django-11477,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,102400,125,38968,2468081,986.84,864.417,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-11477/full-context/run_1
django__django-11477,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,74,34210,1367448,1500.01,1115.902,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-11477/full-context/run_2
django__django-11734,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,90,45402,1981854,1500.0,537.747,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-11734/full-context/run_2
django__django-11734,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,60,32302,986699,1500.02,584.773,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-11734/full-context/run_3
django__django-12273,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,82,35761,1560943,1500.0,649.847,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-12273/full-context/run_2
django__django-12273,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,74,36566,1508154,1500.0,1457.483,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-12273/full-context/run_3
django__django-14351,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,74,38662,1584308,1500.02,649.017,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-14351/full-context/run_3
django__django-15098,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,66,20082,775205,1500.01,696.268,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-15098/full-context/run_2
django__django-15098,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,85,43723,1878288,1500.02,1247.761,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-15098/full-context/run_3
django__django-17084,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,87,28664,1565608,1500.01,704.439,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-17084/full-context/run_2
django__django-17084,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,96,41265,2071187,1500.02,1150.761,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/django__django-17084/full-context/run_3
scikit-learn__scikit-learn-14053,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,52,20821,600266,1500.03,665.96,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/scikit-learn__scikit-learn-14053/full-context/run_3
scikit-learn__scikit-learn-14629,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,47,18195,463067,1500.02,324.993,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/scikit-learn__scikit-learn-14629/full-context/run_1
sympy__sympy-12419,2,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,101,35412,1897949,1500.0,1357.703,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-12419/full-context/run_2
sympy__sympy-12419,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,108,33783,1619861,1500.02,1212.682,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-12419/full-context/run_3
sympy__sympy-13091,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,,limits_exceeded,LimitsExceeded,outcomes_csv,0,,102400,125,36610,2186301,854.59,732.366,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-13091/full-context/run_1
sympy__sympy-19040,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,71,37676,1305440,1500.0,882.766,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-19040/full-context/run_1
sympy__sympy-19040,3,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,,silent_crash,,outcomes_csv,-1,False,102400,78,37296,1493490,1500.02,1284.836,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-19040/full-context/run_3
sympy__sympy-22456,1,qwen35b,main,fc,full-context,di__binf__fc,999999999,0.5,15 min - 1 hour,p100;new70,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,102400,42,20864,457947,1500.01,222.368,False,0,,ICLR_results/swebench/main/qwen35b/di__binf__fc/sympy__sympy-22456/full-context/run_1
