cell	key	task	condition	run	started_at_CDT	source_run_dir	source_job_dir
di__b4k__otrc-ss-partial	blind-maze-explorer-5x5__otrc-ss-partial__r1	blind-maze-explorer-5x5	otrc-ss-partial	1	2026-09-06T03:19:18.834526-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/blind-maze-explorer-5x5/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	blind-maze-explorer-algorithm__otrc-ss-partial__r1	blind-maze-explorer-algorithm	otrc-ss-partial	1	2026-09-06T02:36:19.142048-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/blind-maze-explorer-algorithm/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	cartpole-rl-training__otrc-ss-partial__r1	cartpole-rl-training	otrc-ss-partial	1	2026-09-06T03:20:11.507337-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/cartpole-rl-training/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	count-dataset-tokens__otrc-ss-partial__r1	count-dataset-tokens	otrc-ss-partial	1	2026-09-06T02:09:42.821763-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/count-dataset-tokens/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	crack-7z-hash.hard__otrc-ss-partial__r1	crack-7z-hash.hard	otrc-ss-partial	1	2026-09-06T02:59:09.534473-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/crack-7z-hash.hard/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	csv-to-parquet__otrc-ss-partial__r1	csv-to-parquet	otrc-ss-partial	1	2026-09-06T02:29:01.714724-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/csv-to-parquet/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	decommissioning-service-with-sensitive-data__otrc-ss-partial__r1	decommissioning-service-with-sensitive-data	otrc-ss-partial	1	2026-09-06T03:18:21.231761-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/decommissioning-service-with-sensitive-data/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	download-youtube__otrc-ss-partial__r1	download-youtube	otrc-ss-partial	1	2026-09-06T03:05:33.252053-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/download-youtube/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	eval-mteb__otrc-ss-partial__r1	eval-mteb	otrc-ss-partial	1	2026-09-06T02:22:24.461576-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/eval-mteb/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	eval-mteb.hard__otrc-ss-partial__r1	eval-mteb.hard	otrc-ss-partial	1	2026-09-06T03:15:01.238652-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/eval-mteb.hard/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	extract-moves-from-video__otrc-ss-partial__r1	extract-moves-from-video	otrc-ss-partial	1	2026-09-06T02:41:53.413876-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/extract-moves-from-video/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	fibonacci-server__otrc-ss-partial__r1	fibonacci-server	otrc-ss-partial	1	2026-09-06T02:18:52.489001-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fibonacci-server/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	fix-git__otrc-ss-partial__r1	fix-git	otrc-ss-partial	1	2026-09-06T02:52:46.246048-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-git/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	fix-pandas-version__otrc-ss-partial__r1	fix-pandas-version	otrc-ss-partial	1	2026-09-06T02:26:38.904366-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-pandas-version/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	fix-permissions__otrc-ss-partial__r1	fix-permissions	otrc-ss-partial	1	2026-09-06T02:15:17.200388-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-permissions/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	git-workflow-hack__otrc-ss-partial__r1	git-workflow-hack	otrc-ss-partial	1	2026-09-06T02:51:51.854428-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/git-workflow-hack/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	gpt2-codegolf__otrc-ss-partial__r1	gpt2-codegolf	otrc-ss-partial	1	2026-09-06T02:20:09.658471-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/gpt2-codegolf/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	heterogeneous-dates__otrc-ss-partial__r1	heterogeneous-dates	otrc-ss-partial	1	2026-09-06T03:23:48.977545-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/heterogeneous-dates/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	hf-model-inference__otrc-ss-partial__r1	hf-model-inference	otrc-ss-partial	1	2026-09-06T02:25:20.101930-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/hf-model-inference/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	incompatible-python-fasttext__otrc-ss-partial__r1	incompatible-python-fasttext	otrc-ss-partial	1	2026-09-06T02:08:47.783295-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/incompatible-python-fasttext/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	intrusion-detection__otrc-ss-partial__r1	intrusion-detection	otrc-ss-partial	1	2026-09-06T02:51:43.677359-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/intrusion-detection/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
