benchmark	section	cohort_model_path	cell	key	task	condition	run	primitive	budget_tokens	depth	rerun_reason	rerun_priority	summary_marker_errors	exit_status	resolved	started_at_CDT	source_run_dir	source_trial_dir	harbor_job
terminalbench	main	glm47flash	d05__b3k__ss	cartpole-rl-training__structured-summarize__r1	cartpole-rl-training	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T21:03:06.642594-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/cartpole-rl-training/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/cartpole-rl-training__KzeBbSM	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	eval-mteb.hard__structured-summarize__r1	eval-mteb.hard	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-06T20:56:57.768336-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/eval-mteb.hard__qHENzpL	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	fibonacci-server__structured-summarize__r1	fibonacci-server	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T20:02:25.860373-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fibonacci-server/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/fibonacci-server__Fy4esUF	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	fix-pandas-version__structured-summarize__r1	fix-pandas-version	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-06T20:11:37.466515-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-pandas-version/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/fix-pandas-version__VYDf54W	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	git-workflow-hack__structured-summarize__r1	git-workflow-hack	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T20:37:04.751465-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/git-workflow-hack/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/git-workflow-hack__oxeP5Zb	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	gpt2-codegolf__structured-summarize__r1	gpt2-codegolf	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T20:05:45.763113-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/gpt2-codegolf/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/gpt2-codegolf__2rwjG8a	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	heterogeneous-dates__structured-summarize__r1	heterogeneous-dates	structured-summarize	1	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T21:09:36.729471-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/heterogeneous-dates/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/heterogeneous-dates__JdNBaJW	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	hf-model-inference__structured-summarize__r1	hf-model-inference	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T20:07:25.276387-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/hf-model-inference/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/hf-model-inference__V3GkoLz	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	password-recovery__structured-summarize__r1	password-recovery	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T20:43:29.057733-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/password-recovery/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/password-recovery__87dq554	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	prove-plus-comm__structured-summarize__r1	prove-plus-comm	structured-summarize	1	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T19:49:33.949527-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/prove-plus-comm/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/prove-plus-comm__Ua8skEj	glm47flash-structured-summarize-r1-1788742172351
