task	condition	run	started_at_CDT	finished_at_CDT	status	source_trial_dir
count-dataset-tokens	structured-summarize-partial	1	2026-09-06T13:31:02.410191-05:00	2026-09-06T13:41:03.280431-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/count-dataset-tokens__AVPyWJC
fibonacci-server	structured-summarize-partial	1	2026-09-06T13:39:22.150880-05:00	2026-09-06T13:41:03.755065-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/fibonacci-server__kfVXmMn
fix-permissions	structured-summarize-partial	1	2026-09-06T13:35:56.188584-05:00	2026-09-06T13:36:33.838149-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/fix-permissions__8yvLocb
incompatible-python-fasttext	structured-summarize-partial	1	2026-09-06T13:25:31.494949-05:00	2026-09-06T13:35:56.176969-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/incompatible-python-fasttext__JUavPVA
path-tracing-reverse	structured-summarize-partial	1	2026-09-06T13:30:08.270457-05:00	2026-09-06T13:36:32.083835-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/path-tracing-reverse__ywL7ZoF
prove-plus-comm	structured-summarize-partial	1	2026-09-06T13:25:31.499372-05:00	2026-09-06T13:32:07.662426-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/prove-plus-comm__KC3Gg3u
pytorch-model-cli.hard	structured-summarize-partial	1	2026-09-06T13:32:07.676752-05:00	2026-09-06T13:39:22.142708-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/pytorch-model-cli.hard__WtrjSSx
raman-fitting.easy	structured-summarize-partial	1	2026-09-06T13:25:31.490562-05:00	2026-09-06T13:31:02.403177-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/raman-fitting.easy__bwwi7zb
solana-data	structured-summarize-partial	1	2026-09-06T13:36:32.093884-05:00	2026-09-06T13:41:03.282174-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/solana-data__33zmhkQ
sqlite-with-gcov	structured-summarize-partial	1	2026-09-06T13:36:33.845467-05:00	2026-09-06T13:41:05.144409-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/sqlite-with-gcov__CnrZqAg
tmux-advanced-workflow	structured-summarize-partial	1	2026-09-06T13:25:31.447314-05:00	2026-09-06T13:30:08.253634-05:00	raw_only_not_in_experiment_results	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788719130015/tmux-advanced-workflow__WV49H2T
