cell	key	task	condition	run	started_at_CDT	source_run_dir	source_job_dir
d05__b3k__ss	blind-maze-explorer-5x5__structured-summarize__r1	blind-maze-explorer-5x5	structured-summarize	1	2026-09-06T07:31:54.395065-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-5x5/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	blind-maze-explorer-algorithm__structured-summarize__r1	blind-maze-explorer-algorithm	structured-summarize	1	2026-09-06T06:48:00.545636-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-algorithm/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	cartpole-rl-training__structured-summarize__r1	cartpole-rl-training	structured-summarize	1	2026-09-06T07:32:48.984492-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/cartpole-rl-training/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	count-dataset-tokens__structured-summarize__r1	count-dataset-tokens	structured-summarize	1	2026-09-06T06:19:39.062649-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/count-dataset-tokens/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	crack-7z-hash.hard__structured-summarize__r1	crack-7z-hash.hard	structured-summarize	1	2026-09-06T07:09:07.934103-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/crack-7z-hash.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	csv-to-parquet__structured-summarize__r1	csv-to-parquet	structured-summarize	1	2026-09-06T06:39:53.109213-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/csv-to-parquet/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	decommissioning-service-with-sensitive-data__structured-summarize__r1	decommissioning-service-with-sensitive-data	structured-summarize	1	2026-09-06T07:28:17.413710-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/decommissioning-service-with-sensitive-data/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	download-youtube__structured-summarize__r1	download-youtube	structured-summarize	1	2026-09-06T07:15:31.447098-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/download-youtube/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	eval-mteb__structured-summarize__r1	eval-mteb	structured-summarize	1	2026-09-06T06:30:41.151370-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	eval-mteb.hard__structured-summarize__r1	eval-mteb.hard	structured-summarize	1	2026-09-06T07:24:21.429904-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	extract-moves-from-video__structured-summarize__r1	extract-moves-from-video	structured-summarize	1	2026-09-06T06:52:46.235374-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/extract-moves-from-video/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	fibonacci-server__structured-summarize__r1	fibonacci-server	structured-summarize	1	2026-09-06T06:27:01.966560-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fibonacci-server/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
