benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,summary_condition,trajectory,resolved_dir,source_status,exit_status,banners,headers,max_step,api_calls,token_log_steps,compression_events,log_errors,traj_errors,agent_failures,summary_failures_raw,summary_failures_confirmed,summary_failures_uncorroborated,tail_errors,tail_unresolved,unexplained_steps,fake_headers,fake_errors,interleaved_headers,decode_errors,log_time_delta_s,consistent,monotonic,single_process,structure_ok,log_time_ok,verdict,prior_rerun_reason,prior_classification
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-11087,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11087/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11087/truncation/run_3,exact,LimitsExceeded,1,124,125,125,124,12,3,0,2,1,0,1,0,0,3,0,0,0,1,0.0,True,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-14087,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-14087/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-14087/truncation/run_3,exact,,1,63,82,32,79,7,6,1,3,3,0,3,0,0,17,3,1,3,1,0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-25102,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25102/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25102/truncation/run_3,exact,,1,120,124,119,117,16,2,1,1,1,0,1,0,0,34,7,0,6,2,0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-25931,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25931/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25931/truncation/run_3,exact,,1,118,111,112,106,10,6,1,5,1,0,0,1,1,0,0,1,0,0,0.0,False,False,False,True,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-25973,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25973/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-25973/truncation/run_3,exact,,1,123,125,96,93,10,3,1,2,1,0,1,0,0,0,0,0,0,0,0.0,False,True,True,True,True,inconsistent,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-9288,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-9288/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-9288/truncation/run_3,exact,LimitsExceeded,1,167,125,125,123,8,1,0,0,1,0,1,0,0,6,5,1,5,1,-0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,sympy__sympy-22456,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/sympy__sympy-22456/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/sympy__sympy-22456/truncation/run_3,exact,LimitsExceeded,1,122,124,125,119,8,7,3,6,1,0,0,1,1,10,0,1,0,0,0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b15k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,15000,0.5,django__django-13810,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/django__django-13810/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/django__django-13810/truncation/run_3,exact,,1,29,42,32,39,3,5,2,4,1,0,0,1,1,9,3,1,2,0,0.0,False,True,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b15k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,15000,0.5,django__django-15098,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/django__django-15098/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/django__django-15098/truncation/run_3,exact,,1,87,90,90,90,5,4,0,3,1,0,1,0,0,6,13,0,15,3,0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b15k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,15000,0.5,scikit-learn__scikit-learn-25931,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/scikit-learn__scikit-learn-25931/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b15k__tr/scikit-learn__scikit-learn-25931/truncation/run_3,exact,,1,113,94,93,92,6,3,0,2,1,0,1,0,0,17,0,1,0,0,3.7,False,False,False,False,True,multi_run_log,,
