benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,summary_condition,trajectory,resolved_dir,source_status,exit_status,banners,headers,max_step,api_calls,token_log_steps,compression_events,log_errors,traj_errors,agent_failures,summary_failures_raw,summary_failures_confirmed,summary_failures_uncorroborated,tail_errors,tail_unresolved,unexplained_steps,fake_headers,fake_errors,interleaved_headers,decode_errors,log_time_delta_s,consistent,monotonic,single_process,structure_ok,log_time_ok,verdict,prior_rerun_reason,prior_classification
swebench,ablation,qwen35b,d07__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.7,sympy__sympy-24443,truncation,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d07__b10k__tr/sympy__sympy-24443/truncation/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d07__b10k__tr/sympy__sympy-24443/truncation/run_2,exact,InternalServerError,1,55,59,60,55,13,4,3,4,0,0,0,0,0,1,0,0,0,0,0.0,True,True,True,False,True,inconsistent,,
swebench,ablation,qwen35b,d07__b15k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,15000,0.7,scikit-learn__scikit-learn-25747,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d07__b15k__tr/scikit-learn__scikit-learn-25747/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/qwen35b/d07__b15k__tr/scikit-learn__scikit-learn-25747/truncation/run_3,exact,,1,89,94,93,89,8,5,2,5,0,0,0,0,0,0,0,0,0,0,17.4,False,True,True,True,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-11292,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11292/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11292/full-context/run_3,exact,Submitted,1,91,83,83,82,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-11299,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11299/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11299/full-context/run_2,exact,Submitted,1,116,124,92,90,0,2,2,2,0,0,0,0,0,6,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-11299,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11299/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11299/full-context/run_3,exact,Submitted,1,117,109,109,106,0,3,3,3,0,0,0,0,0,0,0,0,0,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-11734,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11734/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-11734/full-context/run_3,exact,BadRequestError,1,104,105,106,104,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1.3,True,True,True,False,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-12273,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-12273/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-12273/full-context/run_2,exact,,1,33,82,82,80,0,0,2,0,0,0,0,0,0,49,1,0,1,0,0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-12273,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-12273/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-12273/full-context/run_3,exact,,1,41,88,88,87,0,0,1,0,0,0,0,0,0,47,1,0,1,0,0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-13964,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-13964/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-13964/full-context/run_2,exact,Submitted,1,7,76,76,76,0,0,0,0,0,0,0,0,0,69,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-13964,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-13964/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-13964/full-context/run_3,exact,,1,120,116,116,115,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0.0,False,False,False,True,True,multi_run_log,,
