benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,prior_recommended,agentlog_additions,summary_confirmed,uncorroborated,tail_unresolved,inconsistent,multi_run_log,source_changed,log_missing,no_summary_evidence
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,90,3,70,70,0,3,0,0,0,0,17
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,90,51,20,65,0,5,1,0,0,0,19
swebench,ablation,devstral24b,d03__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.3,90,1,82,83,0,0,0,0,0,0,7
swebench,ablation,devstral24b,d03__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.3,90,70,12,79,0,3,0,0,0,0,8
swebench,ablation,devstral24b,d03__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.3,90,1,71,71,0,1,0,0,0,0,18
swebench,ablation,devstral24b,d03__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.3,90,62,5,61,0,6,0,0,0,0,23
swebench,ablation,devstral24b,d03__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.3,90,4,71,72,0,3,0,0,0,0,15
swebench,ablation,devstral24b,d03__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.3,90,68,4,60,0,11,1,0,0,0,18
swebench,ablation,devstral24b,d03__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.3,90,2,55,55,0,2,0,0,0,0,33
swebench,ablation,devstral24b,d03__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.3,90,54,3,44,0,13,0,0,0,0,33
swebench,ablation,devstral24b,d03__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.3,90,0,55,55,0,0,0,0,0,0,35
swebench,ablation,devstral24b,d03__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.3,90,63,1,33,0,31,0,0,0,0,26
swebench,ablation,devstral24b,d05__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.5,90,3,75,75,0,3,0,0,0,0,12
swebench,ablation,devstral24b,d05__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.5,90,65,12,57,0,20,0,0,0,0,13
swebench,ablation,devstral24b,d05__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.5,90,2,81,82,0,1,0,0,0,0,7
swebench,ablation,devstral24b,d05__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.5,90,78,5,43,2,37,1,0,0,0,7
swebench,ablation,devstral24b,d05__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.5,90,1,49,49,0,1,0,0,0,0,40
