benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-11292,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,18,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11292/structured-summarize-partial/run_2/trajectory.json,details/00024.txt
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-12273,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,8,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-12273/structured-summarize-partial/run_2/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-12273,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,15,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-12273/structured-summarize-partial/run_3/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-14580,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,16,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-14580/structured-summarize-partial/run_1/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-14580,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,16,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-14580/structured-summarize-partial/run_2/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-14915,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,17,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-14915/structured-summarize-partial/run_1/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,django__django-17087,structured-summarize-partial,run_3,priority,agentlog_summary_failure,0,3,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-17087/structured-summarize-partial/run_3/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,scikit-learn__scikit-learn-10908,structured-summarize-partial,run_2,priority,agentlog_summary_failure,0,16,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-10908/structured-summarize-partial/run_2/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,scikit-learn__scikit-learn-11310,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,14,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-11310/structured-summarize-partial/run_1/trajectory.json,
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,scikit-learn__scikit-learn-11578,structured-summarize-partial,run_1,priority,agentlog_summary_failure,0,30,/home/ak58925/agentCtx/ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-11578/structured-summarize-partial/run_1/trajectory.json,
