benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,runs_with_query_errors,runs_with_summary_marker_errors,query_error_events,summary_marker_errors
swebench,ablation,devstral24b,d03__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.3,90,22,3,246,219
swebench,ablation,devstral24b,d03__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.3,90,58,51,978,932
swebench,ablation,devstral24b,d03__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.3,90,19,0,34,0
swebench,ablation,devstral24b,d03__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.3,90,74,0,1180,0
swebench,ablation,devstral24b,d03__b17k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,17000,0.3,90,9,0,12,0
swebench,ablation,devstral24b,d03__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.3,90,19,1,61,37
swebench,ablation,devstral24b,d03__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.3,90,72,62,1130,1087
swebench,ablation,devstral24b,d03__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.3,90,27,0,165,0
swebench,ablation,devstral24b,d03__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.3,90,77,0,1411,0
swebench,ablation,devstral24b,d03__b21k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,21000,0.3,90,9,0,10,0
swebench,ablation,devstral24b,d03__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.3,90,29,2,272,220
swebench,ablation,devstral24b,d03__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.3,90,78,54,1143,1080
swebench,ablation,devstral24b,d03__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.3,90,32,0,57,0
swebench,ablation,devstral24b,d03__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.3,90,78,0,1284,0
swebench,ablation,devstral24b,d03__b24k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,24000,0.3,90,14,0,20,0
swebench,ablation,devstral24b,d05__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.5,90,22,3,311,272
swebench,ablation,devstral24b,d05__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.5,90,73,65,1571,1514
swebench,ablation,devstral24b,d05__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.5,90,23,1,59,1
swebench,ablation,devstral24b,d05__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.5,90,82,0,2250,0
swebench,ablation,devstral24b,d05__b17k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,17000,0.5,90,12,0,21,0
swebench,ablation,devstral24b,d05__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.5,90,28,1,114,67
swebench,ablation,devstral24b,d05__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.5,90,72,57,1508,1459
swebench,ablation,devstral24b,d05__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.5,90,35,0,57,0
swebench,ablation,devstral24b,d05__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.5,90,79,0,1674,0
swebench,ablation,devstral24b,d05__b24k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,24000,0.5,90,18,0,23,0
swebench,ablation,devstral24b,d07__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.7,90,18,1,36,3
swebench,ablation,devstral24b,d07__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.7,90,73,69,2383,2346
swebench,ablation,devstral24b,d07__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.7,90,33,0,246,0
swebench,ablation,devstral24b,d07__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.7,90,85,0,2978,0
swebench,ablation,devstral24b,d07__b17k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,17000,0.7,90,8,0,11,0
swebench,ablation,devstral24b,d07__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.7,90,27,3,174,116
swebench,ablation,devstral24b,d07__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.7,90,70,55,1837,1777
swebench,ablation,devstral24b,d07__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.7,90,32,0,136,0
swebench,ablation,devstral24b,d07__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.7,90,78,0,2310,0
swebench,ablation,devstral24b,d07__b21k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,21000,0.7,90,15,0,33,0
swebench,ablation,devstral24b,d07__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.7,90,30,2,201,146
swebench,ablation,devstral24b,d07__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.7,90,70,51,1483,1414
swebench,ablation,devstral24b,d07__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.7,90,24,0,41,0
swebench,ablation,devstral24b,d07__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.7,90,73,0,1632,0
swebench,ablation,devstral24b,d07__b24k__tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,24000,0.7,90,27,0,48,0
swebench,ablation,devstral24b,di__b17k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,17000,0.5,90,63,18,1128,647
swebench,ablation,devstral24b,di__b17k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,17000,0.5,90,72,0,944,0
swebench,ablation,devstral24b,di__b17k__otrc-tr,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc,17000,0.5,90,52,0,276,0
