benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,tb_additions,listed_after_update,already_listed,erasure_possible,token_log_stale,errors_intact_not_established,no_evidence_intact,source_changed,unreadable
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,45,12,45,33,6,6,0,0,0,0
terminalbench,ablation,qwen35b,d05__b2k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,2000,0.5,45,1,45,44,1,0,0,0,0,0
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,45,8,45,37,0,8,0,0,0,0
terminalbench,ablation,qwen35b,d05__b2k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,2000,0.5,45,0,44,44,0,0,0,1,0,0
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,45,15,38,23,12,3,1,6,0,0
terminalbench,ablation,qwen35b,d05__b4k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,4000,0.5,30,1,26,25,1,0,0,4,0,0
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,45,17,36,19,14,3,1,8,0,0
terminalbench,ablation,qwen35b,d05__b4k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,4000,0.5,45,3,37,34,2,1,0,8,0,0
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,120,8,97,89,0,8,2,21,0,0
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,120,10,93,83,5,5,5,22,0,0
terminalbench,main,devstral24b,d05__b4k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,4000,0.5,120,91,94,3,90,1,3,23,0,0
terminalbench,main,devstral24b,d05__b4k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,4000,0.5,120,33,96,63,15,18,1,23,0,0
terminalbench,main,devstral24b,di__b4k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,4000,0.5,120,7,88,81,5,2,1,31,0,0
terminalbench,main,devstral24b,di__b4k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,4000,0.5,120,14,89,75,14,0,5,26,0,0
terminalbench,main,devstral24b,di__b4k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,4000,0.5,120,17,88,71,11,6,4,28,0,0
terminalbench,main,devstral24b,di__b4k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,4000,0.5,120,76,86,10,71,5,3,31,0,0
terminalbench,main,glm47flash,d05__b3k__ss,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize,3000,0.5,120,36,108,72,36,0,0,12,0,0
terminalbench,main,glm47flash,d05__b3k__ss-partial,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize_partial,3000,0.5,120,3,104,101,3,0,2,14,0,0
terminalbench,main,glm47flash,d05__b3k__su-full,hosted_vllm/zai-org/GLM-4.7-Flash,summarization,3000,0.5,120,57,105,48,39,18,2,13,0,0
terminalbench,main,glm47flash,d05__b3k__su-partial,hosted_vllm/zai-org/GLM-4.7-Flash,summarization_partial,3000,0.5,120,2,108,106,2,0,0,12,0,0
terminalbench,main,glm47flash,di__b3k__trc-ss,hosted_vllm/zai-org/GLM-4.7-Flash,trc_structured_summarize,3000,0.5,120,29,103,74,27,2,1,16,0,0
terminalbench,main,glm47flash,di__b3k__trc-su,hosted_vllm/zai-org/GLM-4.7-Flash,trc_summarize,3000,0.5,120,40,103,63,39,1,4,13,0,0
terminalbench,main,qwen35b,d05__b3k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,3000,0.5,120,39,109,70,33,6,0,11,0,0
terminalbench,main,qwen35b,d05__b3k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,3000,0.5,119,1,108,107,1,0,1,10,0,0
terminalbench,main,qwen35b,d05__b3k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,3000,0.5,120,46,107,61,23,23,0,13,0,0
terminalbench,main,qwen35b,d05__b3k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,3000,0.5,117,4,106,102,2,2,1,10,0,0
terminalbench,main,qwen35b,di__b3k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,3000,0.5,120,5,95,90,2,3,1,24,0,0
terminalbench,main,qwen35b,di__b3k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,3000,0.5,120,2,98,96,1,1,5,17,0,0
terminalbench,main,qwen35b,di__b3k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,3000,0.5,120,14,94,80,14,0,2,24,0,0
terminalbench,main,qwen35b,di__b3k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,3000,0.5,120,27,97,70,16,11,2,21,0,0
