benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,runs_with_query_errors,runs_with_summary_marker_errors,query_error_events,summary_marker_errors,rerun_priority_runs,rerun_probable_runs,rerun_recommended_runs,summary_marker_error_runs,summary_failure_accounting_runs,summary_related_response_runs,unresolved_runs
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,45,33,33,1213,1202,33,0,33,33,0,0,0
terminalbench,ablation,qwen35b,d05__b2k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,2000,0.5,45,44,44,1913,1908,44,0,44,44,0,0,0
terminalbench,ablation,qwen35b,d05__b2k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,2000,0.5,45,37,17,618,50,30,7,37,17,13,7,0
terminalbench,ablation,qwen35b,d05__b2k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,2000,0.5,45,44,7,1305,17,41,3,44,7,34,3,0
terminalbench,ablation,qwen35b,d05__b4k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,4000,0.5,45,25,23,887,873,23,0,23,23,0,0,2
terminalbench,ablation,qwen35b,d05__b4k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,4000,0.5,30,25,25,834,830,25,0,25,25,0,0,0
terminalbench,ablation,qwen35b,d05__b4k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,4000,0.5,45,22,1,520,15,15,4,19,1,14,4,3
terminalbench,ablation,qwen35b,d05__b4k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,4000,0.5,45,35,7,1056,10,32,2,34,7,25,2,1
terminalbench,main,devstral24b,d05__b4k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,4000,0.5,120,91,89,4803,4766,89,0,89,89,0,0,2
terminalbench,main,devstral24b,d05__b4k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,4000,0.5,120,88,83,4295,4244,83,0,83,83,0,0,5
terminalbench,main,devstral24b,d05__b4k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,4000,0.5,120,8,0,354,0,3,0,3,0,3,0,5
terminalbench,main,devstral24b,d05__b4k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,4000,0.5,120,65,0,1614,0,25,38,63,0,25,38,2
terminalbench,main,devstral24b,di__b4k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,4000,0.5,120,84,81,3138,3066,81,0,81,81,0,0,3
terminalbench,main,devstral24b,di__b4k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,4000,0.5,120,82,0,1148,0,69,6,75,0,69,6,7
terminalbench,main,devstral24b,di__b4k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,4000,0.5,120,78,71,3185,3144,71,0,71,71,0,0,7
terminalbench,main,devstral24b,di__b4k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,4000,0.5,120,17,0,23,0,7,3,10,0,7,3,7
terminalbench,main,glm47flash,d05__b3k__ss,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize,3000,0.5,120,77,61,903,752,72,0,72,61,11,0,5
terminalbench,main,glm47flash,d05__b3k__ss-partial,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize_partial,3000,0.5,120,104,84,1054,787,101,0,101,84,17,0,3
terminalbench,main,glm47flash,d05__b3k__su-full,hosted_vllm/zai-org/GLM-4.7-Flash,summarization,3000,0.5,120,54,4,1375,12,25,23,48,4,21,23,6
terminalbench,main,glm47flash,d05__b3k__su-partial,hosted_vllm/zai-org/GLM-4.7-Flash,summarization_partial,3000,0.5,120,106,0,1086,0,102,4,106,0,102,4,0
terminalbench,main,glm47flash,di__b3k__trc-ss,hosted_vllm/zai-org/GLM-4.7-Flash,trc_structured_summarize,3000,0.5,120,79,70,1188,1057,74,0,74,70,4,0,5
terminalbench,main,glm47flash,di__b3k__trc-su,hosted_vllm/zai-org/GLM-4.7-Flash,trc_summarize,3000,0.5,120,75,5,940,13,62,1,63,5,57,1,12
terminalbench,main,qwen35b,d05__b3k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,3000,0.5,120,74,70,3668,3650,70,0,70,70,0,0,4
terminalbench,main,qwen35b,d05__b3k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,3000,0.5,119,109,107,7450,7431,107,0,107,107,0,0,2
terminalbench,main,qwen35b,d05__b3k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,3000,0.5,120,62,9,1977,13,46,15,61,9,37,15,1
terminalbench,main,qwen35b,d05__b3k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,3000,0.5,117,103,27,3460,78,71,31,102,27,44,31,1
terminalbench,main,qwen35b,di__b3k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,3000,0.5,120,94,90,5613,5591,90,0,90,90,0,0,4
terminalbench,main,qwen35b,di__b3k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,3000,0.5,120,102,5,4521,13,74,22,96,5,69,22,6
terminalbench,main,qwen35b,di__b3k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,3000,0.5,120,83,80,6243,6212,80,0,80,80,0,0,3
