benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,rerun_priority,rerun_reason,summary_marker_errors,summary_failure_lower_bound,trajectory,error_response_details
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,blind-maze-explorer-5x5,structured-summarize,run_1,priority,summary_marker_error,11,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/blind-maze-explorer-5x5/structured-summarize/run_1/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00001.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,blind-maze-explorer-5x5,structured-summarize,run_2,priority,summary_marker_error,10,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/blind-maze-explorer-5x5/structured-summarize/run_2/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00002.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,blind-maze-explorer-5x5,structured-summarize,run_3,priority,summary_marker_error,10,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/blind-maze-explorer-5x5/structured-summarize/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00003.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,crack-7z-hash.hard,structured-summarize,run_1,priority,summary_marker_error,33,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/crack-7z-hash.hard/structured-summarize/run_1/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00004.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,csv-to-parquet,structured-summarize,run_1,priority,summary_marker_error,64,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/csv-to-parquet/structured-summarize/run_1/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00005.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,csv-to-parquet,structured-summarize,run_3,priority,summary_marker_error,62,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/csv-to-parquet/structured-summarize/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00006.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,download-youtube,structured-summarize,run_2,priority,summary_marker_error,5,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/download-youtube/structured-summarize/run_2/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00007.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,download-youtube,structured-summarize,run_3,priority,summary_marker_error,35,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/download-youtube/structured-summarize/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00008.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,gpt2-codegolf,structured-summarize,run_3,priority,summary_marker_error,24,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/gpt2-codegolf/structured-summarize/run_3/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00009.txt
terminalbench,ablation,qwen35b,d05__b2k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,2000,0.5,heterogeneous-dates,structured-summarize,run_2,priority,summary_marker_error,22,,/home/ak58925/agentCtx/ICLR_results/terminalbench/ablation/qwen35b/d05__b2k__ss/heterogeneous-dates/structured-summarize/run_2/trajectory.json,/home/ak58925/agentCtx-summarization/results/query-error-audit-20260907/details/00010.txt
